task_type,id,pos0,pos1,time
A,8RFLKZQ3,"[14, 0, 0]","[8, 12, 1]",08:00:00
A,TM4KSMO9,"[14, 0, 0]","[6, 12, 1]",08:00:00
A,9A76EF68,"[14, 0, 0]","[6, 4, 0]",08:00:00
D,HW5IM51W,"[6, 12, 1]","[14, 14, 0]",14:00:00
A,PO2UHYKS,"[14, 0, 0]","[6, 2, 1]",08:00:00
D,9A76EF68,"[6, 4, 0]","[14, 14, 0]",14:00:00
A,X2DR7T4H,"[14, 0, 0]","[9, 4, 0]",08:00:00
D,TM4KSMO9,"[6, 12, 1]","[14, 14, 0]",14:00:00
D,4JY2TFWP,"[12, 11, 2]","[14, 14, 0]",14:00:00
D,XL5Z808H,"[2, 3, 0]","[14, 14, 0]",14:00:00
A,1LAW58SA,"[14, 0, 0]","[2, 4, 0]",08:00:00
D,8RFLKZQ3,"[8, 12, 1]","[14, 14, 0]",14:00:00
D,NC0JAH04,"[4, 12, 1]","[14, 14, 0]",14:00:00
D,X2DR7T4H,"[9, 4, 0]","[14, 14, 0]",14:00:00
