task_type,id,pos0,pos1,time
A,L5Z808HK,"[1, 0, 0]","[1, 1, 0]",08:00:00
A,G8QW70YB,"[1, 0, 0]","[1, 1, 0]",08:00:00
A,76EF6850,"[1, 0, 0]","[1, 1, 0]",08:00:00
A,LEZVZDJ7,"[1, 0, 0]","[1, 2, 0]",08:00:00
D,4JY2TFWP,"[1, 2, 0]","[2, 3, 0]",14:00:00
A,H5T7I3AE,"[1, 0, 0]","[1, 2, 0]",08:00:00
D,76EF6850,"[1, 1, 0]","[2, 3, 0]",14:00:00
A,AGREEFB2,"[1, 0, 0]","[1, 2, 0]",08:00:00
D,L5Z808HK,"[1, 1, 0]","[2, 3, 0]",14:00:00
A,8RFLKZQ3,"[1, 0, 0]","[1, 1, 0]",08:00:00
D,LEZVZDJ7,"[1, 2, 0]","[2, 3, 0]",14:00:00
A,PO2UHYKS,"[1, 0, 0]","[1, 1, 0]",08:00:00
D,G8QW70YB,"[1, 1, 0]","[2, 3, 0]",14:00:00
A,AW58SAGQ,"[1, 0, 0]","[1, 1, 0]",08:00:00
A,X2DR7T4H,"[1, 0, 0]","[1, 1, 0]",08:00:00
D,8RFLKZQ3,"[1, 1, 0]","[2, 3, 0]",14:00:00
D,PO2UHYKS,"[1, 1, 0]","[2, 3, 0]",14:00:00
A,TM4KSMO9,"[1, 0, 0]","[1, 2, 0]",10:00:00
A,IO86OUFO,"[1, 0, 0]","[1, 2, 0]",10:00:00
D,X2DR7T4H,"[1, 1, 0]","[2, 3, 0]",14:00:00
