task_type,id,pos0,pos1,time
D,A9YZ12VX,"[4, 12, 2]","[28, 28, 0]",14:00:00
D,HW5IM51W,"[6, 25, 0]","[28, 28, 0]",14:00:00
D,1HV3A8NS,"[14, 25, 0]","[28, 28, 0]",14:00:00
A,IO86OUFO,"[28, 1, 0]","[4, 18, 1]",08:00:00
D,NC0JAH04,"[4, 19, 2]","[28, 28, 0]",14:00:00
D,QIVZ0KC8,"[10, 4, 2]","[28, 28, 0]",14:00:00
A,061YNZT2,"[28, 1, 0]","[9, 27, 0]",08:00:00
A,I6FEMI3B,"[28, 1, 0]","[11, 14, 0]",08:00:00
D,5SMG8QW7,"[17, 25, 0]","[28, 28, 0]",14:00:00
D,SZ6X91U1,"[4, 12, 0]","[28, 28, 0]",14:00:00
A,D000XDXD,"[28, 1, 0]","[12, 25, 2]",08:00:00
D,7FCWE5IZ,"[15, 2, 2]","[28, 28, 0]",14:00:00
D,ONS3H7QM,"[13, 2, 1]","[28, 28, 0]",14:00:00
D,SDHRB3V3,"[4, 8, 0]","[28, 28, 0]",14:00:00
A,9A76EF68,"[28, 1, 0]","[13, 16, 0]",08:00:00
A,TM4KSMO9,"[28, 1, 0]","[16, 14, 2]",08:00:00
A,GJK80D8V,"[28, 1, 0]","[17, 4, 2]",08:00:00
A,W1CYSBZI,"[28, 1, 0]","[17, 27, 1]",08:00:00
A,HB9321LC,"[28, 1, 0]","[19, 27, 0]",08:00:00
A,62GAI81Z,"[28, 1, 0]","[2, 12, 1]",08:00:00
