time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:00:00,PO,,"(14, 7, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:02:20
2025-03-26 08:02:20,PO,,"(14, 0, 0)",0 days 00:57:40,96.11,A,2025-03-26 08:02:50
2025-03-26 08:02:50,A,FFP7HBLN,"(14, 0, 0)",0 days 00:57:10,95.28,A,2025-03-26 08:04:30
2025-03-26 08:04:30,A,FFP7HBLN,"(14, 5, 0)",0 days 00:55:30,92.5,A,2025-03-26 08:06:10
2025-03-26 08:06:10,A,FFP7HBLN,"(9, 5, 0)",0 days 00:53:50,89.72,A,2025-03-26 08:06:30
2025-03-26 08:06:30,A,FFP7HBLN,"(9, 5, 1)",0 days 00:53:30,89.17,A,2025-03-26 08:06:50
2025-03-26 08:06:50,A,FFP7HBLN,"(9, 4, 1)",0 days 00:53:10,88.61,RC,2025-03-26 08:07:20
2025-03-26 08:07:20,RC,,"(9, 4, 1)",0 days 00:52:40,87.78,RC,2025-03-26 08:08:20
2025-03-26 08:08:20,RC,,"(9, 7, 1)",0 days 00:51:40,86.11,RC,2025-03-26 08:10:00
2025-03-26 08:10:00,RC,,"(14, 7, 1)",0 days 00:50:00,83.33,RC,2025-03-26 08:10:20
2025-03-26 08:10:20,RC,,"(14, 7, 0)",0 days 00:49:40,82.78,PO,2025-03-26 08:11:40
2025-03-26 08:11:40,PO,,"(14, 7, 0)",0 days 00:49:40,82.78,PO,2025-03-26 08:14:00
2025-03-26 08:14:00,PO,,"(14, 0, 0)",0 days 00:47:20,78.89,A,2025-03-26 08:14:30
2025-03-26 08:14:30,A,NF3CNNTS,"(14, 0, 0)",0 days 00:46:50,78.06,A,2025-03-26 08:14:50
2025-03-26 08:14:50,A,NF3CNNTS,"(14, 1, 0)",0 days 00:46:30,77.5,A,2025-03-26 08:19:10
2025-03-26 08:19:10,A,NF3CNNTS,"(1, 1, 0)",0 days 00:42:10,70.28,A,2025-03-26 08:22:30
2025-03-26 08:22:30,A,NF3CNNTS,"(1, 11, 0)",0 days 00:38:50,64.72,A,2025-03-26 08:22:50
