time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:18:00,PO,,"(14, 7, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:20:20
2025-03-26 08:20:20,PO,,"(14, 0, 0)",0 days 00:57:40,96.11,A,2025-03-26 08:20:50
2025-03-26 08:20:50,A,FFP7HBLN,"(14, 0, 0)",0 days 00:57:10,95.28,A,2025-03-26 08:22:30
2025-03-26 08:22:30,A,FFP7HBLN,"(14, 5, 0)",0 days 00:55:30,92.5,A,2025-03-26 08:24:10
2025-03-26 08:24:10,A,FFP7HBLN,"(9, 5, 0)",0 days 00:53:50,89.72,A,2025-03-26 08:24:30
2025-03-26 08:24:30,A,FFP7HBLN,"(9, 5, 1)",0 days 00:53:30,89.17,A,2025-03-26 08:24:50
2025-03-26 08:24:50,A,FFP7HBLN,"(9, 4, 1)",0 days 00:53:10,88.61,RC,2025-03-26 08:25:20
2025-03-26 08:25:20,RC,,"(9, 4, 1)",0 days 00:52:40,87.78,RC,2025-03-26 08:08:20
2025-03-26 08:08:20,RC,,"(9, 7, 1)",0 days 00:51:40,86.11,RC,2025-03-26 08:12:00
2025-03-26 08:12:00,RC,,"(14, 7, 1)",0 days 00:50:00,83.33,RC,2025-03-26 08:14:20
2025-03-26 08:14:20,RC,,"(14, 7, 0)",0 days 00:49:40,82.78,PO,2025-03-26 08:15:40
2025-03-26 08:15:40,PO,,"(14, 7, 0)",0 days 00:49:40,82.78,PO,2025-03-26 08:18:00
2025-03-26 08:18:00,PO,,"(14, 0, 0)",0 days 00:47:20,78.89,A,2025-03-26 08:18:30
2025-03-26 08:18:30,A,NF3CNNTS,"(14, 0, 0)",0 days 00:46:50,78.06,A,2025-03-26 08:18:50
2025-03-26 08:18:50,A,NF3CNNTS,"(14, 1, 0)",0 days 00:46:30,77.5,A,2025-03-26 08:23:10
2025-03-26 08:23:10,A,NF3CNNTS,"(1, 1, 0)",0 days 00:42:10,70.28,A,2025-03-26 08:26:30
2025-03-26 08:26:30,A,NF3CNNTS,"(1, 11, 0)",0 days 00:38:50,64.72,A,2025-03-26 08:26:50
2025-03-26 08:26:50,A,NF3CNNTS,"(1, 11, 1)",0 days 00:38:30,64.17,A,2025-03-26 08:27:10
2025-03-26 08:27:10,A,NF3CNNTS,"(2, 11, 1)",0 days 00:38:10,63.61,RC,2025-03-26 08:27:40
2025-03-26 08:27:40,RC,,"(2, 11, 1)",0 days 00:37:40,62.78,RC,2025-03-26 08:24:00
2025-03-26 08:24:00,RC,,"(1, 11, 1)",0 days 00:37:20,62.22,RC,2025-03-26 08:24:40
2025-03-26 08:24:40,RC,,"(1, 13, 1)",0 days 00:36:40,61.11,RC,2025-03-26 08:28:40
2025-03-26 08:28:40,RC,,"(13, 13, 1)",0 days 00:32:40,54.44,RC,2025-03-26 08:30:40
2025-03-26 08:30:40,RC,,"(13, 7, 1)",0 days 00:30:40,51.11,RC,2025-03-26 08:31:00
2025-03-26 08:31:00,RC,,"(14, 7, 1)",0 days 00:30:20,50.56,RC,2025-03-26 08:31:20
2025-03-26 08:31:20,RC,,"(14, 7, 0)",0 days 00:30:00,50.0,PO,2025-03-26 14:00:00
2025-03-26 14:00:00,PO,,"(14, 7, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:02:00
2025-03-26 14:02:00,PO,,"(14, 1, 0)",0 days 00:46:00,76.67,PO,2025-03-26 14:06:20
2025-03-26 14:06:20,PO,,"(1, 1, 0)",0 days 00:41:40,69.44,PO,2025-03-26 14:08:00
2025-03-26 14:08:00,PO,,"(1, 6, 0)",0 days 00:40:00,66.67,PO,2025-03-26 14:08:20
2025-03-26 14:08:20,PO,,"(2, 6, 0)",0 days 00:39:40,66.11,D,2025-03-26 14:08:50
2025-03-26 14:08:50,D,ECRM4UAB,"(2, 6, 0)",0 days 00:39:10,65.28,D,2025-03-26 14:09:10
2025-03-26 14:09:10,D,ECRM4UAB,"(1, 6, 0)",0 days 00:38:50,64.72,D,2025-03-26 14:11:50
2025-03-26 14:11:50,D,ECRM4UAB,"(1, 14, 0)",0 days 00:36:10,60.28,D,2025-03-26 14:16:10
2025-03-26 14:16:10,D,ECRM4UAB,"(14, 14, 0)",0 days 00:31:50,53.06,RC,2025-03-26 14:20:40
2025-03-26 14:20:40,RC,,"(14, 14, 0)",0 days 00:31:20,52.22,RC,2025-03-26 14:23:00
2025-03-26 14:23:00,RC,,"(14, 7, 0)",0 days 00:29:00,48.33,PO,2025-03-26 14:26:40
2025-03-26 14:26:40,PO,,"(14, 7, 0)",0 days 00:29:00,48.33,PO,2025-03-26 14:28:40
2025-03-26 14:28:40,PO,,"(14, 13, 0)",0 days 00:27:00,45.0,PO,2025-03-26 14:31:20
2025-03-26 14:31:20,PO,,"(6, 13, 0)",0 days 00:24:20,40.56,PO,2025-03-26 14:31:40
2025-03-26 14:31:40,PO,,"(6, 13, 1)",0 days 00:24:00,40.0,PO,2025-03-26 14:32:00
2025-03-26 14:32:00,PO,,"(6, 12, 1)",0 days 00:23:40,39.44,D,2025-03-26 14:32:30
