time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:44:00,PO,,"(14, 7, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:46:20
2025-03-26 08:46:20,PO,,"(14, 0, 0)",0 days 00:57:40,96.11,A,2025-03-26 08:46:50
2025-03-26 08:46:50,A,HLB8NR13,"(14, 0, 0)",0 days 00:57:10,95.28,A,2025-03-26 08:48:50
2025-03-26 08:48:50,A,HLB8NR13,"(14, 6, 0)",0 days 00:55:10,91.94,A,2025-03-26 08:49:10
2025-03-26 08:49:10,A,HLB8NR13,"(13, 6, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:51:30
2025-03-26 08:51:30,A,HLB8NR13,"(13, 13, 0)",0 days 00:52:30,87.5,A,2025-03-26 08:53:10
2025-03-26 08:53:10,A,HLB8NR13,"(8, 13, 0)",0 days 00:50:50,84.72,A,2025-03-26 08:53:50
2025-03-26 08:53:50,A,HLB8NR13,"(8, 13, 2)",0 days 00:50:10,83.61,A,2025-03-26 08:54:10
2025-03-26 08:54:10,A,HLB8NR13,"(8, 12, 2)",0 days 00:49:50,83.06,RC,2025-03-26 08:54:40
2025-03-26 08:54:40,RC,,"(8, 12, 2)",0 days 00:49:20,82.22,RC,2025-03-26 08:11:00
2025-03-26 08:11:00,RC,,"(8, 13, 2)",0 days 00:49:00,81.67,RC,2025-03-26 08:14:40
2025-03-26 08:14:40,RC,,"(13, 13, 2)",0 days 00:47:20,78.89,RC,2025-03-26 08:14:40
2025-03-26 08:14:40,RC,,"(13, 7, 2)",0 days 00:45:20,75.56,RC,2025-03-26 08:17:00
2025-03-26 08:17:00,RC,,"(14, 7, 2)",0 days 00:45:00,75.0,RC,2025-03-26 08:19:40
2025-03-26 08:19:40,RC,,"(14, 7, 0)",0 days 00:44:20,73.89,PO,2025-03-26 14:04:00
2025-03-26 14:04:00,PO,,"(14, 7, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:06:00
2025-03-26 14:06:00,PO,,"(14, 1, 0)",0 days 00:46:00,76.67,PO,2025-03-26 14:08:00
2025-03-26 14:08:00,PO,,"(8, 1, 0)",0 days 00:44:00,73.33,PO,2025-03-26 14:08:40
2025-03-26 14:08:40,PO,,"(8, 1, 2)",0 days 00:43:20,72.22,PO,2025-03-26 14:09:00
2025-03-26 14:09:00,PO,,"(8, 2, 2)",0 days 00:43:00,71.67,D,2025-03-26 14:09:30
2025-03-26 14:09:30,D,3WHI7XLU,"(8, 2, 2)",0 days 00:42:30,70.83,D,2025-03-26 14:09:50
2025-03-26 14:09:50,D,3WHI7XLU,"(8, 1, 2)",0 days 00:42:10,70.28,D,2025-03-26 14:11:30
2025-03-26 14:11:30,D,3WHI7XLU,"(13, 1, 2)",0 days 00:40:30,67.5,D,2025-03-26 14:15:50
2025-03-26 14:15:50,D,3WHI7XLU,"(13, 14, 2)",0 days 00:36:10,60.28,D,2025-03-26 14:16:10
2025-03-26 14:16:10,D,3WHI7XLU,"(14, 14, 2)",0 days 00:35:50,59.72,D,2025-03-26 14:16:50
2025-03-26 14:16:50,D,3WHI7XLU,"(14, 14, 0)",0 days 00:35:10,58.61,RC,2025-03-26 14:19:20
2025-03-26 14:19:20,RC,,"(14, 14, 0)",0 days 00:34:40,57.78,RC,2025-03-26 14:17:40
2025-03-26 14:17:40,RC,,"(14, 7, 0)",0 days 00:32:20,53.89,PO,2025-03-26 14:24:40
2025-03-26 14:24:40,PO,,"(14, 7, 0)",0 days 00:32:20,53.89,PO,2025-03-26 14:26:40
2025-03-26 14:26:40,PO,,"(14, 1, 0)",0 days 00:30:20,50.56,PO,2025-03-26 14:30:40
2025-03-26 14:30:40,PO,,"(2, 1, 0)",0 days 00:26:20,43.89,PO,2025-03-26 14:31:20
2025-03-26 14:31:20,PO,,"(2, 1, 2)",0 days 00:25:40,42.78,PO,2025-03-26 14:31:40
2025-03-26 14:31:40,PO,,"(2, 2, 2)",0 days 00:25:20,42.22,D,2025-03-26 14:32:10
2025-03-26 14:32:10,D,THAIB2BS,"(2, 2, 2)",0 days 00:24:50,41.39,D,2025-03-26 14:32:30
2025-03-26 14:32:30,D,THAIB2BS,"(2, 1, 2)",0 days 00:24:30,40.83,D,2025-03-26 14:36:10
2025-03-26 14:36:10,D,THAIB2BS,"(13, 1, 2)",0 days 00:20:50,34.72,D,2025-03-26 14:40:30
2025-03-26 14:40:30,D,THAIB2BS,"(13, 14, 2)",0 days 00:16:30,27.5,D,2025-03-26 14:40:50
2025-03-26 14:40:50,D,THAIB2BS,"(14, 14, 2)",0 days 00:16:10,26.94,D,2025-03-26 14:41:30
2025-03-26 14:41:30,D,THAIB2BS,"(14, 14, 0)",0 days 00:15:30,25.83,RC,2025-03-26 14:42:00
2025-03-26 14:42:00,RC,,"(14, 14, 0)",0 days 00:15:00,25.0,RC,2025-03-26 14:42:20
2025-03-26 14:42:20,RC,,"(14, 7, 0)",0 days 00:12:40,21.11,,
