time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 07:59:00,PO,,"(14, 7, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:01:20
2025-03-26 08:01:20,PO,,"(14, 0, 0)",0 days 00:57:40,96.11,A,2025-03-26 08:01:50
2025-03-26 08:01:50,A,BG8TFER4,"(14, 0, 0)",0 days 00:57:10,95.28,A,2025-03-26 08:02:10
2025-03-26 08:02:10,A,BG8TFER4,"(14, 1, 0)",0 days 00:56:50,94.72,A,2025-03-26 08:04:10
2025-03-26 08:04:10,A,BG8TFER4,"(8, 1, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:04:50
2025-03-26 08:04:50,A,BG8TFER4,"(8, 1, 2)",0 days 00:54:10,90.28,A,2025-03-26 08:05:10
2025-03-26 08:05:10,A,BG8TFER4,"(8, 2, 2)",0 days 00:53:50,89.72,RC,2025-03-26 08:05:40
2025-03-26 08:05:40,RC,,"(8, 2, 2)",0 days 00:53:20,88.89,RC,2025-03-26 08:07:00
2025-03-26 08:07:00,RC,,"(8, 1, 2)",0 days 00:53:00,88.33,RC,2025-03-26 08:08:40
2025-03-26 08:08:40,RC,,"(13, 1, 2)",0 days 00:51:20,85.56,RC,2025-03-26 08:10:40
2025-03-26 08:10:40,RC,,"(13, 7, 2)",0 days 00:49:20,82.22,RC,2025-03-26 08:11:00
2025-03-26 08:11:00,RC,,"(14, 7, 2)",0 days 00:49:00,81.67,RC,2025-03-26 08:11:40
2025-03-26 08:11:40,RC,,"(14, 7, 0)",0 days 00:48:20,80.56,PO,2025-03-26 14:00:00
2025-03-26 14:00:00,PO,,"(14, 7, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:00:40
2025-03-26 14:00:40,PO,,"(14, 9, 0)",0 days 00:47:20,78.89,PO,2025-03-26 14:02:40
2025-03-26 14:02:40,PO,,"(8, 9, 0)",0 days 00:45:20,75.56,PO,2025-03-26 14:03:00
2025-03-26 14:03:00,PO,,"(8, 9, 1)",0 days 00:45:00,75.0,PO,2025-03-26 14:03:20
2025-03-26 14:03:20,PO,,"(8, 10, 1)",0 days 00:44:40,74.44,D,2025-03-26 14:03:50
2025-03-26 14:03:50,D,46DYF78J,"(8, 10, 1)",0 days 00:44:10,73.61,D,2025-03-26 14:04:10
2025-03-26 14:04:10,D,46DYF78J,"(8, 9, 1)",0 days 00:43:50,73.06,D,2025-03-26 14:05:50
2025-03-26 14:05:50,D,46DYF78J,"(13, 9, 1)",0 days 00:42:10,70.28,D,2025-03-26 14:07:30
2025-03-26 14:07:30,D,46DYF78J,"(13, 14, 1)",0 days 00:40:30,67.5,D,2025-03-26 14:07:50
2025-03-26 14:07:50,D,46DYF78J,"(14, 14, 1)",0 days 00:40:10,66.94,D,2025-03-26 14:08:10
2025-03-26 14:08:10,D,46DYF78J,"(14, 14, 0)",0 days 00:39:50,66.39,RC,2025-03-26 14:08:40
2025-03-26 14:08:40,RC,,"(14, 14, 0)",0 days 00:39:20,65.56,RC,2025-03-26 14:13:00
2025-03-26 14:13:00,RC,,"(14, 7, 0)",0 days 00:37:00,61.67,PO,2025-03-26 14:13:00
2025-03-26 14:13:00,PO,,"(14, 7, 0)",0 days 00:37:00,61.67,PO,2025-03-26 14:15:00
2025-03-26 14:15:00,PO,,"(14, 13, 0)",0 days 00:35:00,58.33,PO,2025-03-26 14:17:00
2025-03-26 14:17:00,PO,,"(8, 13, 0)",0 days 00:33:00,55.0,PO,2025-03-26 14:17:40
2025-03-26 14:17:40,PO,,"(8, 13, 2)",0 days 00:32:20,53.89,PO,2025-03-26 14:18:00
2025-03-26 14:18:00,PO,,"(8, 12, 2)",0 days 00:32:00,53.33,D,2025-03-26 14:18:30
2025-03-26 14:18:30,D,HLB8NR13,"(8, 12, 2)",0 days 00:31:30,52.5,D,2025-03-26 14:19:10
2025-03-26 14:19:10,D,HLB8NR13,"(8, 14, 2)",0 days 00:30:50,51.39,D,2025-03-26 14:21:10
2025-03-26 14:21:10,D,HLB8NR13,"(14, 14, 2)",0 days 00:28:50,48.06,D,2025-03-26 14:21:50
2025-03-26 14:21:50,D,HLB8NR13,"(14, 14, 0)",0 days 00:28:10,46.94,RC,2025-03-26 14:24:20
2025-03-26 14:24:20,RC,,"(14, 14, 0)",0 days 00:27:40,46.11,RC,2025-03-26 14:22:40
2025-03-26 14:22:40,RC,,"(14, 7, 0)",0 days 00:25:20,42.22,,
