time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 09:28:00,PO,,"(14, 7, 0)",0 days 01:00:00,100.0,PO,2025-03-26 09:30:20
2025-03-26 09:30:20,PO,,"(14, 0, 0)",0 days 00:57:40,96.11,A,2025-03-26 09:30:50
2025-03-26 09:30:50,A,8O1JJL1Q,"(14, 0, 0)",0 days 00:57:10,95.28,A,2025-03-26 09:31:10
2025-03-26 09:31:10,A,8O1JJL1Q,"(14, 1, 0)",0 days 00:56:50,94.72,A,2025-03-26 09:34:30
2025-03-26 09:34:30,A,8O1JJL1Q,"(4, 1, 0)",0 days 00:53:30,89.17,A,2025-03-26 09:36:10
2025-03-26 09:36:10,A,8O1JJL1Q,"(4, 6, 0)",0 days 00:51:50,86.39,A,2025-03-26 09:36:30
2025-03-26 09:36:30,A,8O1JJL1Q,"(5, 6, 0)",0 days 00:51:30,85.83,RC,2025-03-26 09:37:00
2025-03-26 09:37:00,RC,,"(5, 6, 0)",0 days 00:51:00,85.0,RC,2025-03-26 08:11:20
2025-03-26 08:11:20,RC,,"(4, 6, 0)",0 days 00:50:40,84.44,RC,2025-03-26 08:11:00
2025-03-26 08:11:00,RC,,"(4, 1, 0)",0 days 00:49:00,81.67,RC,2025-03-26 08:18:20
2025-03-26 08:18:20,RC,,"(8, 1, 0)",0 days 00:47:40,79.44,RC,2025-03-26 08:20:20
2025-03-26 08:20:20,RC,,"(8, 7, 0)",0 days 00:45:40,76.11,RC,2025-03-26 08:20:20
2025-03-26 08:20:20,RC,,"(14, 7, 0)",0 days 00:43:40,72.78,PO,2025-03-26 14:04:00
2025-03-26 14:04:00,PO,,"(14, 7, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:06:00
2025-03-26 14:06:00,PO,,"(14, 1, 0)",0 days 00:46:00,76.67,PO,2025-03-26 14:09:20
2025-03-26 14:09:20,PO,,"(4, 1, 0)",0 days 00:42:40,71.11,PO,2025-03-26 14:10:00
2025-03-26 14:10:00,PO,,"(4, 3, 0)",0 days 00:42:00,70.0,PO,2025-03-26 14:10:20
2025-03-26 14:10:20,PO,,"(4, 3, 1)",0 days 00:41:40,69.44,PO,2025-03-26 14:10:40
2025-03-26 14:10:40,PO,,"(5, 3, 1)",0 days 00:41:20,68.89,D,2025-03-26 14:11:10
2025-03-26 14:11:10,D,JBSR259L,"(5, 3, 1)",0 days 00:40:50,68.06,D,2025-03-26 14:11:30
2025-03-26 14:11:30,D,JBSR259L,"(4, 3, 1)",0 days 00:40:30,67.5,D,2025-03-26 14:15:10
2025-03-26 14:15:10,D,JBSR259L,"(4, 14, 1)",0 days 00:36:50,61.39,D,2025-03-26 14:18:30
2025-03-26 14:18:30,D,JBSR259L,"(14, 14, 1)",0 days 00:33:30,55.83,D,2025-03-26 14:18:50
2025-03-26 14:18:50,D,JBSR259L,"(14, 14, 0)",0 days 00:33:10,55.28,RC,2025-03-26 14:25:20
2025-03-26 14:25:20,RC,,"(14, 14, 0)",0 days 00:32:40,54.44,RC,2025-03-26 14:23:40
2025-03-26 14:23:40,RC,,"(14, 7, 0)",0 days 00:30:20,50.56,PO,2025-03-26 14:21:40
2025-03-26 14:21:40,PO,,"(14, 7, 0)",0 days 00:30:20,50.56,PO,2025-03-26 14:22:20
2025-03-26 14:22:20,PO,,"(14, 9, 0)",0 days 00:29:40,49.44,PO,2025-03-26 14:24:20
2025-03-26 14:24:20,PO,,"(8, 9, 0)",0 days 00:27:40,46.11,PO,2025-03-26 14:24:40
2025-03-26 14:24:40,PO,,"(8, 9, 1)",0 days 00:27:20,45.56,PO,2025-03-26 14:25:00
2025-03-26 14:25:00,PO,,"(7, 9, 1)",0 days 00:27:00,45.0,D,2025-03-26 14:25:30
2025-03-26 14:25:30,D,YHCDCWXQ,"(7, 9, 1)",0 days 00:26:30,44.17,D,2025-03-26 14:25:50
2025-03-26 14:25:50,D,YHCDCWXQ,"(8, 9, 1)",0 days 00:26:10,43.61,D,2025-03-26 14:27:30
2025-03-26 14:27:30,D,YHCDCWXQ,"(8, 14, 1)",0 days 00:24:30,40.83,D,2025-03-26 14:29:30
2025-03-26 14:29:30,D,YHCDCWXQ,"(14, 14, 1)",0 days 00:22:30,37.5,D,2025-03-26 14:29:50
2025-03-26 14:29:50,D,YHCDCWXQ,"(14, 14, 0)",0 days 00:22:10,36.94,RC,2025-03-26 14:34:20
2025-03-26 14:34:20,RC,,"(14, 14, 0)",0 days 00:21:40,36.11,RC,2025-03-26 14:28:40
2025-03-26 14:28:40,RC,,"(14, 7, 0)",0 days 00:19:20,32.22,,
