time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:02:00,PO,,"(14, 7, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:04:20
2025-03-26 08:04:20,PO,,"(14, 0, 0)",0 days 00:57:40,96.11,A,2025-03-26 08:04:50
2025-03-26 08:04:50,A,5LHE8P9P,"(14, 0, 0)",0 days 00:57:10,95.28,A,2025-03-26 08:06:50
2025-03-26 08:06:50,A,5LHE8P9P,"(14, 6, 0)",0 days 00:55:10,91.94,A,2025-03-26 08:07:10
2025-03-26 08:07:10,A,5LHE8P9P,"(13, 6, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:07:50
2025-03-26 08:07:50,A,5LHE8P9P,"(13, 8, 0)",0 days 00:54:10,90.28,A,2025-03-26 08:09:30
2025-03-26 08:09:30,A,5LHE8P9P,"(8, 8, 0)",0 days 00:52:30,87.5,A,2025-03-26 08:10:10
2025-03-26 08:10:10,A,5LHE8P9P,"(8, 8, 2)",0 days 00:51:50,86.39,A,2025-03-26 08:10:30
2025-03-26 08:10:30,A,5LHE8P9P,"(7, 8, 2)",0 days 00:51:30,85.83,RC,2025-03-26 08:11:00
2025-03-26 08:11:00,RC,,"(7, 8, 2)",0 days 00:51:00,85.0,RC,2025-03-26 08:09:20
2025-03-26 08:09:20,RC,,"(8, 8, 2)",0 days 00:50:40,84.44,RC,2025-03-26 08:09:40
2025-03-26 08:09:40,RC,,"(8, 7, 2)",0 days 00:50:20,83.89,RC,2025-03-26 08:11:40
2025-03-26 08:11:40,RC,,"(14, 7, 2)",0 days 00:48:20,80.56,RC,2025-03-26 08:16:20
2025-03-26 08:16:20,RC,,"(14, 7, 0)",0 days 00:47:40,79.44,PO,2025-03-26 08:20:20
2025-03-26 08:20:20,PO,,"(14, 7, 0)",0 days 00:47:40,79.44,PO,2025-03-26 08:22:40
2025-03-26 08:22:40,PO,,"(14, 0, 0)",0 days 00:45:20,75.56,A,2025-03-26 08:23:10
2025-03-26 08:23:10,A,2YKPRZYM,"(14, 0, 0)",0 days 00:44:50,74.72,A,2025-03-26 08:25:10
2025-03-26 08:25:10,A,2YKPRZYM,"(14, 6, 0)",0 days 00:42:50,71.39,A,2025-03-26 08:25:30
2025-03-26 08:25:30,A,2YKPRZYM,"(13, 6, 0)",0 days 00:42:30,70.83,A,2025-03-26 08:27:50
2025-03-26 08:27:50,A,2YKPRZYM,"(13, 13, 0)",0 days 00:40:10,66.94,A,2025-03-26 08:30:10
2025-03-26 08:30:10,A,2YKPRZYM,"(6, 13, 0)",0 days 00:37:50,63.06,A,2025-03-26 08:30:50
2025-03-26 08:30:50,A,2YKPRZYM,"(6, 13, 2)",0 days 00:37:10,61.94,A,2025-03-26 08:31:10
2025-03-26 08:31:10,A,2YKPRZYM,"(6, 12, 2)",0 days 00:36:50,61.39,RC,2025-03-26 08:31:40
2025-03-26 08:31:40,RC,,"(6, 12, 2)",0 days 00:36:20,60.56,RC,2025-03-26 08:28:00
2025-03-26 08:28:00,RC,,"(6, 13, 2)",0 days 00:36:00,60.0,RC,2025-03-26 08:28:40
2025-03-26 08:28:40,RC,,"(8, 13, 2)",0 days 00:35:20,58.89,RC,2025-03-26 08:30:40
2025-03-26 08:30:40,RC,,"(8, 7, 2)",0 days 00:33:20,55.56,RC,2025-03-26 08:32:40
2025-03-26 08:32:40,RC,,"(14, 7, 2)",0 days 00:31:20,52.22,RC,2025-03-26 08:37:20
2025-03-26 08:37:20,RC,,"(14, 7, 0)",0 days 00:30:40,51.11,PO,2025-03-26 14:04:00
2025-03-26 14:04:00,PO,,"(14, 7, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:06:00
2025-03-26 14:06:00,PO,,"(14, 13, 0)",0 days 00:46:00,76.67,PO,2025-03-26 14:08:40
2025-03-26 14:08:40,PO,,"(6, 13, 0)",0 days 00:43:20,72.22,PO,2025-03-26 14:09:20
2025-03-26 14:09:20,PO,,"(6, 13, 2)",0 days 00:42:40,71.11,PO,2025-03-26 14:09:40
2025-03-26 14:09:40,PO,,"(6, 12, 2)",0 days 00:42:20,70.56,D,2025-03-26 14:10:10
2025-03-26 14:10:10,D,2YKPRZYM,"(6, 12, 2)",0 days 00:41:50,69.72,D,2025-03-26 14:10:50
2025-03-26 14:10:50,D,2YKPRZYM,"(6, 14, 2)",0 days 00:41:10,68.61,D,2025-03-26 14:13:30
