time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:24:00,PO,,"(14, 7, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:26:20
2025-03-26 08:26:20,PO,,"(14, 0, 0)",0 days 00:57:40,96.11,A,2025-03-26 08:26:50
2025-03-26 08:26:50,A,JBSR259L,"(14, 0, 0)",0 days 00:57:10,95.28,A,2025-03-26 08:27:10
2025-03-26 08:27:10,A,JBSR259L,"(14, 1, 0)",0 days 00:56:50,94.72,A,2025-03-26 08:30:30
2025-03-26 08:30:30,A,JBSR259L,"(4, 1, 0)",0 days 00:53:30,89.17,A,2025-03-26 08:31:10
2025-03-26 08:31:10,A,JBSR259L,"(4, 3, 0)",0 days 00:52:50,88.06,A,2025-03-26 08:31:30
2025-03-26 08:31:30,A,JBSR259L,"(4, 3, 1)",0 days 00:52:30,87.5,A,2025-03-26 08:31:50
2025-03-26 08:31:50,A,JBSR259L,"(5, 3, 1)",0 days 00:52:10,86.94,RC,2025-03-26 08:32:20
2025-03-26 08:32:20,RC,,"(5, 3, 1)",0 days 00:51:40,86.11,RC,2025-03-26 08:08:40
2025-03-26 08:08:40,RC,,"(4, 3, 1)",0 days 00:51:20,85.56,RC,2025-03-26 08:09:20
2025-03-26 08:09:20,RC,,"(4, 1, 1)",0 days 00:50:40,84.44,RC,2025-03-26 08:16:40
2025-03-26 08:16:40,RC,,"(8, 1, 1)",0 days 00:49:20,82.22,RC,2025-03-26 08:14:40
2025-03-26 08:14:40,RC,,"(8, 7, 1)",0 days 00:47:20,78.89,RC,2025-03-26 08:14:40
2025-03-26 08:14:40,RC,,"(14, 7, 1)",0 days 00:45:20,75.56,RC,2025-03-26 08:39:00
2025-03-26 08:39:00,RC,,"(14, 7, 0)",0 days 00:45:00,75.0,PO,2025-03-26 08:40:20
2025-03-26 08:40:20,PO,,"(14, 7, 0)",0 days 00:45:00,75.0,PO,2025-03-26 08:42:40
2025-03-26 08:42:40,PO,,"(14, 0, 0)",0 days 00:42:40,71.11,A,2025-03-26 08:43:10
2025-03-26 08:43:10,A,RFUX2HG6,"(14, 0, 0)",0 days 00:42:10,70.28,A,2025-03-26 08:45:10
2025-03-26 08:45:10,A,RFUX2HG6,"(14, 6, 0)",0 days 00:40:10,66.94,A,2025-03-26 08:47:10
2025-03-26 08:47:10,A,RFUX2HG6,"(8, 6, 0)",0 days 00:38:10,63.61,A,2025-03-26 08:47:50
2025-03-26 08:47:50,A,RFUX2HG6,"(8, 6, 2)",0 days 00:37:30,62.5,A,2025-03-26 08:48:10
2025-03-26 08:48:10,A,RFUX2HG6,"(7, 6, 2)",0 days 00:37:10,61.94,RC,2025-03-26 08:50:40
2025-03-26 08:50:40,RC,,"(7, 6, 2)",0 days 00:36:40,61.11,RC,2025-03-26 08:25:00
2025-03-26 08:25:00,RC,,"(8, 6, 2)",0 days 00:36:20,60.56,RC,2025-03-26 08:31:20
2025-03-26 08:31:20,RC,,"(8, 7, 2)",0 days 00:36:00,60.0,RC,2025-03-26 08:31:20
2025-03-26 08:31:20,RC,,"(14, 7, 2)",0 days 00:34:00,56.67,RC,2025-03-26 08:32:00
2025-03-26 08:32:00,RC,,"(14, 7, 0)",0 days 00:33:20,55.56,PO,2025-03-26 14:02:00
2025-03-26 14:02:00,PO,,"(14, 7, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:04:00
2025-03-26 14:04:00,PO,,"(14, 13, 0)",0 days 00:46:00,76.67,PO,2025-03-26 14:07:20
2025-03-26 14:07:20,PO,,"(4, 13, 0)",0 days 00:42:40,71.11,PO,2025-03-26 14:08:00
2025-03-26 14:08:00,PO,,"(4, 11, 0)",0 days 00:42:00,70.0,PO,2025-03-26 14:08:20
2025-03-26 14:08:20,PO,,"(5, 11, 0)",0 days 00:41:40,69.44,D,2025-03-26 14:08:50
2025-03-26 14:08:50,D,WZRHGWOU,"(5, 11, 0)",0 days 00:41:10,68.61,D,2025-03-26 14:09:10
2025-03-26 14:09:10,D,WZRHGWOU,"(4, 11, 0)",0 days 00:40:50,68.06,D,2025-03-26 14:10:10
2025-03-26 14:10:10,D,WZRHGWOU,"(4, 14, 0)",0 days 00:39:50,66.39,D,2025-03-26 14:13:30
2025-03-26 14:13:30,D,WZRHGWOU,"(14, 14, 0)",0 days 00:36:30,60.83,RC,2025-03-26 14:16:00
2025-03-26 14:16:00,RC,,"(14, 14, 0)",0 days 00:36:00,60.0,RC,2025-03-26 14:16:20
2025-03-26 14:16:20,RC,,"(14, 7, 0)",0 days 00:33:40,56.11,PO,2025-03-26 14:19:40
2025-03-26 14:19:40,PO,,"(14, 7, 0)",0 days 00:33:40,56.11,PO,2025-03-26 14:21:00
2025-03-26 14:21:00,PO,,"(14, 3, 0)",0 days 00:32:20,53.89,PO,2025-03-26 14:23:20
2025-03-26 14:23:20,PO,,"(7, 3, 0)",0 days 00:30:00,50.0,D,2025-03-26 14:23:50
2025-03-26 14:23:50,D,H6O1VUF2,"(7, 3, 0)",0 days 00:29:30,49.17,D,2025-03-26 14:24:10
2025-03-26 14:24:10,D,H6O1VUF2,"(8, 3, 0)",0 days 00:29:10,48.61,D,2025-03-26 14:27:50
2025-03-26 14:27:50,D,H6O1VUF2,"(8, 14, 0)",0 days 00:25:30,42.5,D,2025-03-26 14:29:50
2025-03-26 14:29:50,D,H6O1VUF2,"(14, 14, 0)",0 days 00:23:30,39.17,RC,2025-03-26 14:32:20
2025-03-26 14:32:20,RC,,"(14, 14, 0)",0 days 00:23:00,38.33,RC,2025-03-26 14:30:40
2025-03-26 14:30:40,RC,,"(14, 7, 0)",0 days 00:20:40,34.44,,
