time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:32:00,PO,,"(14, 7, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:34:20
2025-03-26 08:34:20,PO,,"(14, 0, 0)",0 days 00:57:40,96.11,A,2025-03-26 08:34:50
2025-03-26 08:34:50,A,5D0M3Y1Q,"(14, 0, 0)",0 days 00:57:10,95.28,A,2025-03-26 08:36:50
2025-03-26 08:36:50,A,5D0M3Y1Q,"(14, 6, 0)",0 days 00:55:10,91.94,A,2025-03-26 08:37:10
2025-03-26 08:37:10,A,5D0M3Y1Q,"(13, 6, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:39:30
2025-03-26 08:39:30,A,5D0M3Y1Q,"(13, 13, 0)",0 days 00:52:30,87.5,A,2025-03-26 08:41:50
2025-03-26 08:41:50,A,5D0M3Y1Q,"(6, 13, 0)",0 days 00:50:10,83.61,A,2025-03-26 08:42:10
2025-03-26 08:42:10,A,5D0M3Y1Q,"(6, 12, 0)",0 days 00:49:50,83.06,RC,2025-03-26 08:42:40
2025-03-26 08:42:40,RC,,"(6, 12, 0)",0 days 00:49:20,82.22,RC,2025-03-26 08:11:00
2025-03-26 08:11:00,RC,,"(6, 13, 0)",0 days 00:49:00,81.67,RC,2025-03-26 08:11:40
2025-03-26 08:11:40,RC,,"(8, 13, 0)",0 days 00:48:20,80.56,RC,2025-03-26 08:17:40
2025-03-26 08:17:40,RC,,"(8, 7, 0)",0 days 00:46:20,77.22,RC,2025-03-26 08:33:40
2025-03-26 08:33:40,RC,,"(14, 7, 0)",0 days 00:44:20,73.89,PO,2025-03-26 08:34:20
2025-03-26 08:34:20,PO,,"(14, 7, 0)",0 days 00:44:20,73.89,PO,2025-03-26 08:36:40
2025-03-26 08:36:40,PO,,"(14, 0, 0)",0 days 00:42:00,70.0,A,2025-03-26 08:37:10
2025-03-26 08:37:10,A,0O2BYZ1W,"(14, 0, 0)",0 days 00:41:30,69.17,A,2025-03-26 08:39:10
2025-03-26 08:39:10,A,0O2BYZ1W,"(14, 6, 0)",0 days 00:39:30,65.83,A,2025-03-26 08:39:30
2025-03-26 08:39:30,A,0O2BYZ1W,"(13, 6, 0)",0 days 00:39:10,65.28,A,2025-03-26 08:41:30
2025-03-26 08:41:30,A,0O2BYZ1W,"(13, 12, 0)",0 days 00:37:10,61.94,A,2025-03-26 08:43:30
2025-03-26 08:43:30,A,0O2BYZ1W,"(7, 12, 0)",0 days 00:35:10,58.61,RC,2025-03-26 08:44:00
2025-03-26 08:44:00,RC,,"(7, 12, 0)",0 days 00:34:40,57.78,RC,2025-03-26 08:26:20
2025-03-26 08:26:20,RC,,"(8, 12, 0)",0 days 00:34:20,57.22,RC,2025-03-26 08:28:00
2025-03-26 08:28:00,RC,,"(8, 7, 0)",0 days 00:32:40,54.44,RC,2025-03-26 08:34:00
2025-03-26 08:34:00,RC,,"(14, 7, 0)",0 days 00:30:40,51.11,PO,2025-03-26 14:04:00
2025-03-26 14:04:00,PO,,"(14, 7, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:04:20
2025-03-26 14:04:20,PO,,"(14, 6, 0)",0 days 00:47:40,79.44,PO,2025-03-26 14:06:20
2025-03-26 14:06:20,PO,,"(8, 6, 0)",0 days 00:45:40,76.11,PO,2025-03-26 14:06:40
2025-03-26 14:06:40,PO,,"(8, 6, 1)",0 days 00:45:20,75.56,PO,2025-03-26 14:07:00
2025-03-26 14:07:00,PO,,"(7, 6, 1)",0 days 00:45:00,75.0,D,2025-03-26 14:07:30
2025-03-26 14:07:30,D,WZAJCF8T,"(7, 6, 1)",0 days 00:44:30,74.17,D,2025-03-26 14:07:50
2025-03-26 14:07:50,D,WZAJCF8T,"(8, 6, 1)",0 days 00:44:10,73.61,D,2025-03-26 14:10:30
2025-03-26 14:10:30,D,WZAJCF8T,"(8, 14, 1)",0 days 00:41:30,69.17,D,2025-03-26 14:12:30
2025-03-26 14:12:30,D,WZAJCF8T,"(14, 14, 1)",0 days 00:39:30,65.83,D,2025-03-26 14:12:50
2025-03-26 14:12:50,D,WZAJCF8T,"(14, 14, 0)",0 days 00:39:10,65.28,RC,2025-03-26 14:13:20
2025-03-26 14:13:20,RC,,"(14, 14, 0)",0 days 00:38:40,64.44,RC,2025-03-26 14:11:40
2025-03-26 14:11:40,RC,,"(14, 7, 0)",0 days 00:36:20,60.56,PO,2025-03-26 14:17:40
2025-03-26 14:17:40,PO,,"(14, 7, 0)",0 days 00:36:20,60.56,PO,2025-03-26 14:19:40
2025-03-26 14:19:40,PO,,"(14, 13, 0)",0 days 00:34:20,57.22,PO,2025-03-26 14:22:20
2025-03-26 14:22:20,PO,,"(6, 13, 0)",0 days 00:31:40,52.78,PO,2025-03-26 14:22:40
2025-03-26 14:22:40,PO,,"(6, 12, 0)",0 days 00:31:20,52.22,D,2025-03-26 14:23:10
2025-03-26 14:23:10,D,P55MX34M,"(6, 12, 0)",0 days 00:30:50,51.39,D,2025-03-26 14:23:50
2025-03-26 14:23:50,D,P55MX34M,"(6, 14, 0)",0 days 00:30:10,50.28,D,2025-03-26 14:26:30
2025-03-26 14:26:30,D,P55MX34M,"(14, 14, 0)",0 days 00:27:30,45.83,RC,2025-03-26 14:27:00
2025-03-26 14:27:00,RC,,"(14, 14, 0)",0 days 00:27:00,45.0,RC,2025-03-26 14:29:20
2025-03-26 14:29:20,RC,,"(14, 7, 0)",0 days 00:24:40,41.11,,
