time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:15:00,PO,,"(14, 7, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:17:20
2025-03-26 08:17:20,PO,,"(14, 0, 0)",0 days 00:57:40,96.11,A,2025-03-26 08:17:50
2025-03-26 08:17:50,A,LY19LNBX,"(14, 0, 0)",0 days 00:57:10,95.28,A,2025-03-26 08:19:50
2025-03-26 08:19:50,A,LY19LNBX,"(14, 6, 0)",0 days 00:55:10,91.94,A,2025-03-26 08:20:10
2025-03-26 08:20:10,A,LY19LNBX,"(13, 6, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:22:30
2025-03-26 08:22:30,A,LY19LNBX,"(13, 13, 0)",0 days 00:52:30,87.5,A,2025-03-26 08:24:50
2025-03-26 08:24:50,A,LY19LNBX,"(6, 13, 0)",0 days 00:50:10,83.61,A,2025-03-26 08:25:10
2025-03-26 08:25:10,A,LY19LNBX,"(6, 13, 1)",0 days 00:49:50,83.06,A,2025-03-26 08:25:30
2025-03-26 08:25:30,A,LY19LNBX,"(6, 12, 1)",0 days 00:49:30,82.5,RC,2025-03-26 08:26:00
2025-03-26 08:26:00,RC,,"(6, 12, 1)",0 days 00:49:00,81.67,RC,2025-03-26 08:11:20
2025-03-26 08:11:20,RC,,"(6, 13, 1)",0 days 00:48:40,81.11,RC,2025-03-26 08:12:00
2025-03-26 08:12:00,RC,,"(8, 13, 1)",0 days 00:48:00,80.0,RC,2025-03-26 08:18:00
2025-03-26 08:18:00,RC,,"(8, 7, 1)",0 days 00:46:00,76.67,RC,2025-03-26 08:18:00
2025-03-26 08:18:00,RC,,"(14, 7, 1)",0 days 00:44:00,73.33,RC,2025-03-26 08:20:20
2025-03-26 08:20:20,RC,,"(14, 7, 0)",0 days 00:43:40,72.78,PO,2025-03-26 14:02:00
2025-03-26 14:02:00,PO,,"(14, 7, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:04:00
2025-03-26 14:04:00,PO,,"(14, 1, 0)",0 days 00:46:00,76.67,PO,2025-03-26 14:07:20
2025-03-26 14:07:20,PO,,"(4, 1, 0)",0 days 00:42:40,71.11,PO,2025-03-26 14:09:00
2025-03-26 14:09:00,PO,,"(4, 6, 0)",0 days 00:41:00,68.33,PO,2025-03-26 14:09:20
2025-03-26 14:09:20,PO,,"(4, 6, 1)",0 days 00:40:40,67.78,PO,2025-03-26 14:09:40
2025-03-26 14:09:40,PO,,"(5, 6, 1)",0 days 00:40:20,67.22,D,2025-03-26 14:10:10
2025-03-26 14:10:10,D,NH6LLKTZ,"(5, 6, 1)",0 days 00:39:50,66.39,D,2025-03-26 14:10:30
2025-03-26 14:10:30,D,NH6LLKTZ,"(4, 6, 1)",0 days 00:39:30,65.83,D,2025-03-26 14:13:10
2025-03-26 14:13:10,D,NH6LLKTZ,"(4, 14, 1)",0 days 00:36:50,61.39,D,2025-03-26 14:16:30
2025-03-26 14:16:30,D,NH6LLKTZ,"(14, 14, 1)",0 days 00:33:30,55.83,D,2025-03-26 14:16:50
2025-03-26 14:16:50,D,NH6LLKTZ,"(14, 14, 0)",0 days 00:33:10,55.28,RC,2025-03-26 14:25:20
2025-03-26 14:25:20,RC,,"(14, 14, 0)",0 days 00:32:40,54.44,RC,2025-03-26 14:23:40
2025-03-26 14:23:40,RC,,"(14, 7, 0)",0 days 00:30:20,50.56,PO,2025-03-26 14:21:40
2025-03-26 14:21:40,PO,,"(14, 7, 0)",0 days 00:30:20,50.56,PO,2025-03-26 14:23:40
2025-03-26 14:23:40,PO,,"(14, 1, 0)",0 days 00:28:20,47.22,PO,2025-03-26 14:27:00
2025-03-26 14:27:00,PO,,"(4, 1, 0)",0 days 00:25:00,41.67,PO,2025-03-26 14:28:40
2025-03-26 14:28:40,PO,,"(4, 6, 0)",0 days 00:23:20,38.89,PO,2025-03-26 14:29:00
2025-03-26 14:29:00,PO,,"(5, 6, 0)",0 days 00:23:00,38.33,D,2025-03-26 14:29:30
2025-03-26 14:29:30,D,8O1JJL1Q,"(5, 6, 0)",0 days 00:22:30,37.5,D,2025-03-26 14:29:50
2025-03-26 14:29:50,D,8O1JJL1Q,"(4, 6, 0)",0 days 00:22:10,36.94,D,2025-03-26 14:32:30
2025-03-26 14:32:30,D,8O1JJL1Q,"(4, 14, 0)",0 days 00:19:30,32.5,D,2025-03-26 14:35:50
2025-03-26 14:35:50,D,8O1JJL1Q,"(14, 14, 0)",0 days 00:16:10,26.94,RC,2025-03-26 14:38:20
2025-03-26 14:38:20,RC,,"(14, 14, 0)",0 days 00:15:40,26.11,RC,2025-03-26 14:34:40
2025-03-26 14:34:40,RC,,"(14, 7, 0)",0 days 00:13:20,22.22,,
