time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:00:00,PO,,"(7, 3, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:01:00
2025-03-26 08:01:00,PO,,"(7, 0, 0)",0 days 00:59:00,98.33,A,2025-03-26 08:01:30
2025-03-26 08:01:30,A,BANQOV0M,"(7, 0, 0)",0 days 00:58:30,97.5,A,2025-03-26 08:01:50
2025-03-26 08:01:50,A,BANQOV0M,"(7, 1, 0)",0 days 00:58:10,96.94,A,2025-03-26 08:03:30
2025-03-26 08:03:30,A,BANQOV0M,"(2, 1, 0)",0 days 00:56:30,94.17,A,2025-03-26 08:03:50
2025-03-26 08:03:50,A,BANQOV0M,"(2, 2, 0)",0 days 00:56:10,93.61,RC,2025-03-26 08:08:20
2025-03-26 08:08:20,RC,,"(2, 2, 0)",0 days 00:55:40,92.78,RC,2025-03-26 08:12:40
2025-03-26 08:12:40,RC,,"(2, 1, 0)",0 days 00:55:20,92.22,RC,2025-03-26 08:18:00
2025-03-26 08:18:00,RC,,"(6, 1, 0)",0 days 00:54:00,90.0,RC,2025-03-26 08:22:40
2025-03-26 08:22:40,RC,,"(6, 3, 0)",0 days 00:53:20,88.89,RC,2025-03-26 08:34:00
2025-03-26 08:34:00,RC,,"(7, 3, 0)",0 days 00:53:00,88.33,PO,2025-03-26 08:34:00
2025-03-26 08:34:00,PO,,"(7, 3, 0)",0 days 00:53:00,88.33,PO,2025-03-26 08:35:00
2025-03-26 08:35:00,PO,,"(7, 0, 0)",0 days 00:52:00,86.67,A,2025-03-26 08:35:30
2025-03-26 08:35:30,A,7J5OBZ5F,"(7, 0, 0)",0 days 00:51:30,85.83,A,2025-03-26 08:36:10
2025-03-26 08:36:10,A,7J5OBZ5F,"(7, 2, 0)",0 days 00:50:50,84.72,A,2025-03-26 08:36:30
2025-03-26 08:36:30,A,7J5OBZ5F,"(6, 2, 0)",0 days 00:50:30,84.17,A,2025-03-26 08:36:50
2025-03-26 08:36:50,A,7J5OBZ5F,"(6, 3, 0)",0 days 00:50:10,83.61,A,2025-03-26 08:37:10
2025-03-26 08:37:10,A,7J5OBZ5F,"(5, 3, 0)",0 days 00:49:50,83.06,RC,2025-03-26 08:37:40
2025-03-26 08:37:40,RC,,"(5, 3, 0)",0 days 00:49:20,82.22,RC,2025-03-26 08:17:20
2025-03-26 08:17:20,RC,,"(7, 3, 0)",0 days 00:48:40,81.11,PO,2025-03-26 14:04:00
2025-03-26 14:04:00,PO,,"(7, 3, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:04:20
2025-03-26 14:04:20,PO,,"(7, 2, 0)",0 days 00:47:40,79.44,PO,2025-03-26 14:05:00
2025-03-26 14:05:00,PO,,"(5, 2, 0)",0 days 00:47:00,78.33,D,2025-03-26 14:05:30
2025-03-26 14:05:30,D,O2GDCKWJ,"(5, 2, 0)",0 days 00:46:30,77.5,D,2025-03-26 14:05:50
2025-03-26 14:05:50,D,O2GDCKWJ,"(6, 2, 0)",0 days 00:46:10,76.94,D,2025-03-26 14:07:30
2025-03-26 14:07:30,D,O2GDCKWJ,"(6, 7, 0)",0 days 00:44:30,74.17,D,2025-03-26 14:07:50
2025-03-26 14:07:50,D,O2GDCKWJ,"(7, 7, 0)",0 days 00:44:10,73.61,RC,2025-03-26 14:10:20
2025-03-26 14:10:20,RC,,"(7, 7, 0)",0 days 00:43:40,72.78,RC,2025-03-26 14:07:40
2025-03-26 14:07:40,RC,,"(7, 3, 0)",0 days 00:42:20,70.56,PO,2025-03-26 14:14:00
2025-03-26 14:14:00,PO,,"(7, 3, 0)",0 days 00:42:20,70.56,PO,2025-03-26 14:14:40
2025-03-26 14:14:40,PO,,"(7, 1, 0)",0 days 00:41:40,69.44,PO,2025-03-26 14:16:20
2025-03-26 14:16:20,PO,,"(2, 1, 0)",0 days 00:40:00,66.67,PO,2025-03-26 14:16:40
2025-03-26 14:16:40,PO,,"(2, 2, 0)",0 days 00:39:40,66.11,D,2025-03-26 14:17:10
2025-03-26 14:17:10,D,NV48FLT7,"(2, 2, 0)",0 days 00:39:10,65.28,D,2025-03-26 14:17:30
2025-03-26 14:17:30,D,NV48FLT7,"(2, 1, 0)",0 days 00:38:50,64.72,D,2025-03-26 14:18:50
2025-03-26 14:18:50,D,NV48FLT7,"(6, 1, 0)",0 days 00:37:30,62.5,D,2025-03-26 14:20:50
2025-03-26 14:20:50,D,NV48FLT7,"(6, 7, 0)",0 days 00:35:30,59.17,D,2025-03-26 14:21:10
2025-03-26 14:21:10,D,NV48FLT7,"(7, 7, 0)",0 days 00:35:10,58.61,RC,2025-03-26 14:21:40
2025-03-26 14:21:40,RC,,"(7, 7, 0)",0 days 00:34:40,57.78,RC,2025-03-26 14:23:00
2025-03-26 14:23:00,RC,,"(7, 3, 0)",0 days 00:33:20,55.56,,
