time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:00:00,PO,,"(7, 3, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:01:00
2025-03-26 08:01:00,PO,,"(7, 0, 0)",0 days 00:59:00,98.33,A,2025-03-26 08:01:30
2025-03-26 08:01:30,A,WYPQQQFX,"(7, 0, 0)",0 days 00:58:30,97.5,A,2025-03-26 08:01:50
2025-03-26 08:01:50,A,WYPQQQFX,"(7, 1, 0)",0 days 00:58:10,96.94,A,2025-03-26 08:03:30
2025-03-26 08:03:30,A,WYPQQQFX,"(2, 1, 0)",0 days 00:56:30,94.17,A,2025-03-26 08:03:50
2025-03-26 08:03:50,A,WYPQQQFX,"(2, 2, 0)",0 days 00:56:10,93.61,RC,2025-03-26 08:02:20
2025-03-26 08:02:20,RC,,"(2, 2, 0)",0 days 00:55:40,92.78,RC,2025-03-26 08:04:40
2025-03-26 08:04:40,RC,,"(2, 1, 0)",0 days 00:55:20,92.22,RC,2025-03-26 08:05:00
2025-03-26 08:05:00,RC,,"(6, 1, 0)",0 days 00:54:00,90.0,RC,2025-03-26 08:06:40
2025-03-26 08:06:40,RC,,"(6, 3, 0)",0 days 00:53:20,88.89,RC,2025-03-26 08:17:00
2025-03-26 08:17:00,RC,,"(7, 3, 0)",0 days 00:53:00,88.33,PO,2025-03-26 08:17:00
2025-03-26 08:17:00,PO,,"(7, 3, 0)",0 days 00:53:00,88.33,PO,2025-03-26 08:18:00
2025-03-26 08:18:00,PO,,"(7, 0, 0)",0 days 00:52:00,86.67,A,2025-03-26 08:18:30
2025-03-26 08:18:30,A,AIC78LBX,"(7, 0, 0)",0 days 00:51:30,85.83,A,2025-03-26 08:19:10
2025-03-26 08:19:10,A,AIC78LBX,"(7, 2, 0)",0 days 00:50:50,84.72,A,2025-03-26 08:19:30
2025-03-26 08:19:30,A,AIC78LBX,"(6, 2, 0)",0 days 00:50:30,84.17,A,2025-03-26 08:20:50
2025-03-26 08:20:50,A,AIC78LBX,"(6, 6, 0)",0 days 00:49:10,81.94,A,2025-03-26 08:21:30
2025-03-26 08:21:30,A,AIC78LBX,"(4, 6, 0)",0 days 00:48:30,80.83,A,2025-03-26 08:21:50
2025-03-26 08:21:50,A,AIC78LBX,"(4, 5, 0)",0 days 00:48:10,80.28,A,2025-03-26 08:22:30
2025-03-26 08:22:30,A,AIC78LBX,"(2, 5, 0)",0 days 00:47:30,79.17,RC,2025-03-26 08:23:00
2025-03-26 08:23:00,RC,,"(2, 5, 0)",0 days 00:47:00,78.33,RC,2025-03-26 08:13:20
2025-03-26 08:13:20,RC,,"(2, 6, 0)",0 days 00:46:40,77.78,RC,2025-03-26 08:14:40
2025-03-26 08:14:40,RC,,"(6, 6, 0)",0 days 00:45:20,75.56,RC,2025-03-26 08:17:40
2025-03-26 08:17:40,RC,,"(6, 3, 0)",0 days 00:44:20,73.89,RC,2025-03-26 08:16:00
2025-03-26 08:16:00,RC,,"(7, 3, 0)",0 days 00:44:00,73.33,PO,2025-03-26 14:00:00
2025-03-26 14:00:00,PO,,"(7, 3, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:00:40
2025-03-26 14:00:40,PO,,"(5, 3, 0)",0 days 00:47:20,78.89,D,2025-03-26 14:01:10
2025-03-26 14:01:10,D,22RCH9SX,"(5, 3, 0)",0 days 00:46:50,78.06,D,2025-03-26 14:01:30
2025-03-26 14:01:30,D,22RCH9SX,"(6, 3, 0)",0 days 00:46:30,77.5,D,2025-03-26 14:02:50
2025-03-26 14:02:50,D,22RCH9SX,"(6, 7, 0)",0 days 00:45:10,75.28,D,2025-03-26 14:03:10
2025-03-26 14:03:10,D,22RCH9SX,"(7, 7, 0)",0 days 00:44:50,74.72,RC,2025-03-26 14:03:40
2025-03-26 14:03:40,RC,,"(7, 7, 0)",0 days 00:44:20,73.89,RC,2025-03-26 14:05:00
2025-03-26 14:05:00,RC,,"(7, 3, 0)",0 days 00:43:00,71.67,PO,2025-03-26 14:05:00
2025-03-26 14:05:00,PO,,"(7, 3, 0)",0 days 00:43:00,71.67,PO,2025-03-26 14:05:40
2025-03-26 14:05:40,PO,,"(7, 1, 0)",0 days 00:42:20,70.56,PO,2025-03-26 14:07:20
2025-03-26 14:07:20,PO,,"(2, 1, 0)",0 days 00:40:40,67.78,PO,2025-03-26 14:07:40
2025-03-26 14:07:40,PO,,"(2, 2, 0)",0 days 00:40:20,67.22,D,2025-03-26 14:08:10
2025-03-26 14:08:10,D,WYPQQQFX,"(2, 2, 0)",0 days 00:39:50,66.39,D,2025-03-26 14:08:30
2025-03-26 14:08:30,D,WYPQQQFX,"(2, 1, 0)",0 days 00:39:30,65.83,D,2025-03-26 14:09:50
2025-03-26 14:09:50,D,WYPQQQFX,"(6, 1, 0)",0 days 00:38:10,63.61,D,2025-03-26 14:11:50
2025-03-26 14:11:50,D,WYPQQQFX,"(6, 7, 0)",0 days 00:36:10,60.28,D,2025-03-26 14:12:10
2025-03-26 14:12:10,D,WYPQQQFX,"(7, 7, 0)",0 days 00:35:50,59.72,RC,2025-03-26 14:14:40
2025-03-26 14:14:40,RC,,"(7, 7, 0)",0 days 00:35:20,58.89,RC,2025-03-26 14:14:00
2025-03-26 14:14:00,RC,,"(7, 3, 0)",0 days 00:34:00,56.67,,
