time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 12:02:00,PO,,"(7, 3, 0)",0 days 01:00:00,100.0,PO,2025-03-26 12:03:00
2025-03-26 12:03:00,PO,,"(7, 0, 0)",0 days 00:59:00,98.33,A,2025-03-26 12:03:30
2025-03-26 12:03:30,A,ZQ3VV7P2,"(7, 0, 0)",0 days 00:58:30,97.5,A,2025-03-26 12:04:10
2025-03-26 12:04:10,A,ZQ3VV7P2,"(7, 2, 0)",0 days 00:57:50,96.39,A,2025-03-26 12:04:30
2025-03-26 12:04:30,A,ZQ3VV7P2,"(6, 2, 0)",0 days 00:57:30,95.83,A,2025-03-26 12:04:50
2025-03-26 12:04:50,A,ZQ3VV7P2,"(6, 3, 0)",0 days 00:57:10,95.28,A,2025-03-26 12:05:30
2025-03-26 12:05:30,A,ZQ3VV7P2,"(4, 3, 0)",0 days 00:56:30,94.17,A,2025-03-26 12:05:50
2025-03-26 12:05:50,A,ZQ3VV7P2,"(4, 3, 1)",0 days 00:56:10,93.61,A,2025-03-26 12:06:10
2025-03-26 12:06:10,A,ZQ3VV7P2,"(3, 3, 1)",0 days 00:55:50,93.06,RC,2025-03-26 12:10:40
2025-03-26 12:10:40,RC,,"(3, 3, 1)",0 days 00:55:20,92.22,RC,2025-03-26 08:10:00
2025-03-26 08:10:00,RC,,"(7, 3, 1)",0 days 00:54:00,90.0,RC,2025-03-26 08:16:20
2025-03-26 08:16:20,RC,,"(7, 3, 0)",0 days 00:53:40,89.44,PO,2025-03-26 08:17:00
2025-03-26 08:17:00,PO,,"(7, 3, 0)",0 days 00:53:40,89.44,PO,2025-03-26 08:18:00
2025-03-26 08:18:00,PO,,"(7, 0, 0)",0 days 00:52:40,87.78,A,2025-03-26 08:18:30
2025-03-26 08:18:30,A,SG7BVC7O,"(7, 0, 0)",0 days 00:52:10,86.94,A,2025-03-26 08:18:50
2025-03-26 08:18:50,A,SG7BVC7O,"(7, 1, 0)",0 days 00:51:50,86.39,A,2025-03-26 08:19:50
2025-03-26 08:19:50,A,SG7BVC7O,"(4, 1, 0)",0 days 00:50:50,84.72,A,2025-03-26 08:20:30
2025-03-26 08:20:30,A,SG7BVC7O,"(4, 1, 2)",0 days 00:50:10,83.61,A,2025-03-26 08:20:50
2025-03-26 08:20:50,A,SG7BVC7O,"(3, 1, 2)",0 days 00:49:50,83.06,RC,2025-03-26 08:21:20
2025-03-26 08:21:20,RC,,"(3, 1, 2)",0 days 00:49:20,82.22,RC,2025-03-26 08:13:40
2025-03-26 08:13:40,RC,,"(4, 1, 2)",0 days 00:49:00,81.67,RC,2025-03-26 08:16:20
2025-03-26 08:16:20,RC,,"(4, 3, 2)",0 days 00:48:20,80.56,RC,2025-03-26 08:15:20
2025-03-26 08:15:20,RC,,"(7, 3, 2)",0 days 00:47:20,78.89,RC,2025-03-26 08:36:00
2025-03-26 08:36:00,RC,,"(7, 3, 0)",0 days 00:46:40,77.78,PO,2025-03-26 14:16:00
2025-03-26 14:16:00,PO,,"(7, 3, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:16:40
2025-03-26 14:16:40,PO,,"(7, 5, 0)",0 days 00:47:20,78.89,PO,2025-03-26 14:17:40
2025-03-26 14:17:40,PO,,"(4, 5, 0)",0 days 00:46:20,77.22,PO,2025-03-26 14:18:00
2025-03-26 14:18:00,PO,,"(4, 5, 1)",0 days 00:46:00,76.67,PO,2025-03-26 14:18:20
2025-03-26 14:18:20,PO,,"(3, 5, 1)",0 days 00:45:40,76.11,D,2025-03-26 14:18:50
2025-03-26 14:18:50,D,VTV7Q9R8,"(3, 5, 1)",0 days 00:45:10,75.28,D,2025-03-26 14:19:10
2025-03-26 14:19:10,D,VTV7Q9R8,"(4, 5, 1)",0 days 00:44:50,74.72,D,2025-03-26 14:19:50
2025-03-26 14:19:50,D,VTV7Q9R8,"(4, 7, 1)",0 days 00:44:10,73.61,D,2025-03-26 14:20:50
2025-03-26 14:20:50,D,VTV7Q9R8,"(7, 7, 1)",0 days 00:43:10,71.94,D,2025-03-26 14:21:10
2025-03-26 14:21:10,D,VTV7Q9R8,"(7, 7, 0)",0 days 00:42:50,71.39,RC,2025-03-26 14:23:40
2025-03-26 14:23:40,RC,,"(7, 7, 0)",0 days 00:42:20,70.56,RC,2025-03-26 14:21:00
2025-03-26 14:21:00,RC,,"(7, 3, 0)",0 days 00:41:00,68.33,PO,2025-03-26 14:23:20
2025-03-26 14:23:20,PO,,"(7, 3, 0)",0 days 00:41:00,68.33,PO,2025-03-26 14:24:00
2025-03-26 14:24:00,PO,,"(7, 5, 0)",0 days 00:40:20,67.22,PO,2025-03-26 14:25:20
2025-03-26 14:25:20,PO,,"(3, 5, 0)",0 days 00:39:00,65.0,D,2025-03-26 14:25:50
2025-03-26 14:25:50,D,POSL3KYO,"(3, 5, 0)",0 days 00:38:30,64.17,D,2025-03-26 14:26:10
2025-03-26 14:26:10,D,POSL3KYO,"(4, 5, 0)",0 days 00:38:10,63.61,D,2025-03-26 14:26:50
2025-03-26 14:26:50,D,POSL3KYO,"(4, 7, 0)",0 days 00:37:30,62.5,D,2025-03-26 14:27:50
2025-03-26 14:27:50,D,POSL3KYO,"(7, 7, 0)",0 days 00:36:30,60.83,RC,2025-03-26 14:34:20
2025-03-26 14:34:20,RC,,"(7, 7, 0)",0 days 00:36:00,60.0,RC,2025-03-26 14:21:40
2025-03-26 14:21:40,RC,,"(7, 3, 0)",0 days 00:34:40,57.78,,
