time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:11:00,PO,,"(7, 3, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:12:00
2025-03-26 08:12:00,PO,,"(7, 0, 0)",0 days 00:59:00,98.33,A,2025-03-26 08:12:30
2025-03-26 08:12:30,A,POSL3KYO,"(7, 0, 0)",0 days 00:58:30,97.5,A,2025-03-26 08:13:10
2025-03-26 08:13:10,A,POSL3KYO,"(7, 2, 0)",0 days 00:57:50,96.39,A,2025-03-26 08:13:30
2025-03-26 08:13:30,A,POSL3KYO,"(6, 2, 0)",0 days 00:57:30,95.83,A,2025-03-26 08:14:30
2025-03-26 08:14:30,A,POSL3KYO,"(6, 5, 0)",0 days 00:56:30,94.17,A,2025-03-26 08:15:30
2025-03-26 08:15:30,A,POSL3KYO,"(3, 5, 0)",0 days 00:55:30,92.5,RC,2025-03-26 08:22:00
2025-03-26 08:22:00,RC,,"(3, 5, 0)",0 days 00:55:00,91.67,RC,2025-03-26 08:05:20
2025-03-26 08:05:20,RC,,"(4, 5, 0)",0 days 00:54:40,91.11,RC,2025-03-26 08:06:00
2025-03-26 08:06:00,RC,,"(4, 3, 0)",0 days 00:54:00,90.0,RC,2025-03-26 08:13:00
2025-03-26 08:13:00,RC,,"(7, 3, 0)",0 days 00:53:00,88.33,PO,2025-03-26 14:06:00
2025-03-26 14:06:00,PO,,"(7, 3, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:07:00
2025-03-26 14:07:00,PO,,"(4, 3, 0)",0 days 00:47:00,78.33,PO,2025-03-26 14:07:20
2025-03-26 14:07:20,PO,,"(4, 3, 1)",0 days 00:46:40,77.78,PO,2025-03-26 14:07:40
2025-03-26 14:07:40,PO,,"(3, 3, 1)",0 days 00:46:20,77.22,D,2025-03-26 14:08:10
2025-03-26 14:08:10,D,OEMICOA6,"(3, 3, 1)",0 days 00:45:50,76.39,D,2025-03-26 14:08:30
2025-03-26 14:08:30,D,OEMICOA6,"(4, 3, 1)",0 days 00:45:30,75.83,D,2025-03-26 14:09:50
2025-03-26 14:09:50,D,OEMICOA6,"(4, 7, 1)",0 days 00:44:10,73.61,D,2025-03-26 14:10:50
2025-03-26 14:10:50,D,OEMICOA6,"(7, 7, 1)",0 days 00:43:10,71.94,D,2025-03-26 14:11:10
2025-03-26 14:11:10,D,OEMICOA6,"(7, 7, 0)",0 days 00:42:50,71.39,RC,2025-03-26 14:13:40
2025-03-26 14:13:40,RC,,"(7, 7, 0)",0 days 00:42:20,70.56,RC,2025-03-26 14:11:00
2025-03-26 14:11:00,RC,,"(7, 3, 0)",0 days 00:41:00,68.33,PO,2025-03-26 14:17:20
2025-03-26 14:17:20,PO,,"(7, 3, 0)",0 days 00:41:00,68.33,PO,2025-03-26 14:18:00
2025-03-26 14:18:00,PO,,"(7, 1, 0)",0 days 00:40:20,67.22,PO,2025-03-26 14:19:00
2025-03-26 14:19:00,PO,,"(4, 1, 0)",0 days 00:39:20,65.56,PO,2025-03-26 14:19:40
2025-03-26 14:19:40,PO,,"(4, 1, 2)",0 days 00:38:40,64.44,PO,2025-03-26 14:20:00
2025-03-26 14:20:00,PO,,"(3, 1, 2)",0 days 00:38:20,63.89,D,2025-03-26 14:20:30
2025-03-26 14:20:30,D,XUSEOILQ,"(3, 1, 2)",0 days 00:37:50,63.06,D,2025-03-26 14:20:50
2025-03-26 14:20:50,D,XUSEOILQ,"(4, 1, 2)",0 days 00:37:30,62.5,D,2025-03-26 14:22:50
2025-03-26 14:22:50,D,XUSEOILQ,"(4, 7, 2)",0 days 00:35:30,59.17,D,2025-03-26 14:23:50
2025-03-26 14:23:50,D,XUSEOILQ,"(7, 7, 2)",0 days 00:34:30,57.5,D,2025-03-26 14:24:30
2025-03-26 14:24:30,D,XUSEOILQ,"(7, 7, 0)",0 days 00:33:50,56.39,RC,2025-03-26 14:27:00
2025-03-26 14:27:00,RC,,"(7, 7, 0)",0 days 00:33:20,55.56,RC,2025-03-26 14:22:20
2025-03-26 14:22:20,RC,,"(7, 3, 0)",0 days 00:32:00,53.33,,
