time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 14:38:00,PO,,"(7, 3, 0)",0 days 01:00:00,100.0,PO,2025-03-26 14:39:00
2025-03-26 14:39:00,PO,,"(7, 0, 0)",0 days 00:59:00,98.33,A,2025-03-26 14:39:30
2025-03-26 14:39:30,A,ZQ3VV7P2,"(7, 0, 0)",0 days 00:58:30,97.5,A,2025-03-26 14:40:10
2025-03-26 14:40:10,A,ZQ3VV7P2,"(7, 2, 0)",0 days 00:57:50,96.39,A,2025-03-26 14:40:30
2025-03-26 14:40:30,A,ZQ3VV7P2,"(6, 2, 0)",0 days 00:57:30,95.83,A,2025-03-26 14:40:50
2025-03-26 14:40:50,A,ZQ3VV7P2,"(6, 3, 0)",0 days 00:57:10,95.28,A,2025-03-26 14:41:30
2025-03-26 14:41:30,A,ZQ3VV7P2,"(4, 3, 0)",0 days 00:56:30,94.17,A,2025-03-26 14:41:50
2025-03-26 14:41:50,A,ZQ3VV7P2,"(4, 3, 1)",0 days 00:56:10,93.61,A,2025-03-26 14:42:10
2025-03-26 14:42:10,A,ZQ3VV7P2,"(3, 3, 1)",0 days 00:55:50,93.06,RC,2025-03-26 14:48:40
2025-03-26 14:48:40,RC,,"(3, 3, 1)",0 days 00:55:20,92.22,RC,2025-03-26 08:10:00
2025-03-26 08:10:00,RC,,"(7, 3, 1)",0 days 00:54:00,90.0,RC,2025-03-26 08:10:20
2025-03-26 08:10:20,RC,,"(7, 3, 0)",0 days 00:53:40,89.44,PO,2025-03-26 08:09:00
2025-03-26 08:09:00,PO,,"(7, 3, 0)",0 days 00:53:40,89.44,PO,2025-03-26 08:10:00
2025-03-26 08:10:00,PO,,"(7, 0, 0)",0 days 00:52:40,87.78,A,2025-03-26 08:10:30
2025-03-26 08:10:30,A,SG7BVC7O,"(7, 0, 0)",0 days 00:52:10,86.94,A,2025-03-26 08:10:50
2025-03-26 08:10:50,A,SG7BVC7O,"(7, 1, 0)",0 days 00:51:50,86.39,A,2025-03-26 08:11:50
2025-03-26 08:11:50,A,SG7BVC7O,"(4, 1, 0)",0 days 00:50:50,84.72,A,2025-03-26 08:12:30
2025-03-26 08:12:30,A,SG7BVC7O,"(4, 1, 2)",0 days 00:50:10,83.61,A,2025-03-26 08:12:50
2025-03-26 08:12:50,A,SG7BVC7O,"(3, 1, 2)",0 days 00:49:50,83.06,RC,2025-03-26 08:13:20
2025-03-26 08:13:20,RC,,"(3, 1, 2)",0 days 00:49:20,82.22,RC,2025-03-26 08:13:40
2025-03-26 08:13:40,RC,,"(4, 1, 2)",0 days 00:49:00,81.67,RC,2025-03-26 08:18:20
2025-03-26 08:18:20,RC,,"(4, 3, 2)",0 days 00:48:20,80.56,RC,2025-03-26 08:15:20
2025-03-26 08:15:20,RC,,"(7, 3, 2)",0 days 00:47:20,78.89,RC,2025-03-26 08:26:00
2025-03-26 08:26:00,RC,,"(7, 3, 0)",0 days 00:46:40,77.78,PO,2025-03-26 14:10:00
2025-03-26 14:10:00,PO,,"(7, 3, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:10:40
2025-03-26 14:10:40,PO,,"(7, 5, 0)",0 days 00:47:20,78.89,PO,2025-03-26 14:11:40
2025-03-26 14:11:40,PO,,"(4, 5, 0)",0 days 00:46:20,77.22,PO,2025-03-26 14:12:00
2025-03-26 14:12:00,PO,,"(4, 5, 1)",0 days 00:46:00,76.67,PO,2025-03-26 14:12:20
2025-03-26 14:12:20,PO,,"(3, 5, 1)",0 days 00:45:40,76.11,D,2025-03-26 14:12:50
2025-03-26 14:12:50,D,VTV7Q9R8,"(3, 5, 1)",0 days 00:45:10,75.28,D,2025-03-26 14:13:10
2025-03-26 14:13:10,D,VTV7Q9R8,"(4, 5, 1)",0 days 00:44:50,74.72,D,2025-03-26 14:13:50
2025-03-26 14:13:50,D,VTV7Q9R8,"(4, 7, 1)",0 days 00:44:10,73.61,D,2025-03-26 14:14:50
2025-03-26 14:14:50,D,VTV7Q9R8,"(7, 7, 1)",0 days 00:43:10,71.94,D,2025-03-26 14:15:10
2025-03-26 14:15:10,D,VTV7Q9R8,"(7, 7, 0)",0 days 00:42:50,71.39,RC,2025-03-26 14:15:40
2025-03-26 14:15:40,RC,,"(7, 7, 0)",0 days 00:42:20,70.56,RC,2025-03-26 14:41:00
2025-03-26 14:41:00,RC,,"(7, 3, 0)",0 days 00:41:00,68.33,PO,2025-03-26 14:45:20
2025-03-26 14:45:20,PO,,"(7, 3, 0)",0 days 00:41:00,68.33,PO,2025-03-26 14:46:00
2025-03-26 14:46:00,PO,,"(7, 5, 0)",0 days 00:40:20,67.22,PO,2025-03-26 14:47:20
2025-03-26 14:47:20,PO,,"(3, 5, 0)",0 days 00:39:00,65.0,D,2025-03-26 14:47:50
2025-03-26 14:47:50,D,POSL3KYO,"(3, 5, 0)",0 days 00:38:30,64.17,D,2025-03-26 14:48:10
2025-03-26 14:48:10,D,POSL3KYO,"(4, 5, 0)",0 days 00:38:10,63.61,D,2025-03-26 14:48:50
2025-03-26 14:48:50,D,POSL3KYO,"(4, 7, 0)",0 days 00:37:30,62.5,D,2025-03-26 14:49:50
2025-03-26 14:49:50,D,POSL3KYO,"(7, 7, 0)",0 days 00:36:30,60.83,RC,2025-03-26 14:54:20
2025-03-26 14:54:20,RC,,"(7, 7, 0)",0 days 00:36:00,60.0,RC,2025-03-26 14:23:40
2025-03-26 14:23:40,RC,,"(7, 3, 0)",0 days 00:34:40,57.78,,
