time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 09:14:00,PO,,"(28, 15, 0)",0 days 01:00:00,100.0,PO,2025-03-26 09:18:40
2025-03-26 09:18:40,PO,,"(28, 1, 0)",0 days 00:55:20,92.22,A,2025-03-26 09:19:10
2025-03-26 09:19:10,A,9A76EF68,"(28, 1, 0)",0 days 00:54:50,91.39,A,2025-03-26 09:28:10
2025-03-26 09:28:10,A,9A76EF68,"(1, 1, 0)",0 days 00:45:50,76.39,A,2025-03-26 09:29:10
2025-03-26 09:29:10,A,9A76EF68,"(1, 4, 0)",0 days 00:44:50,74.72,A,2025-03-26 09:29:30
2025-03-26 09:29:30,A,9A76EF68,"(1, 4, 1)",0 days 00:44:30,74.17,A,2025-03-26 09:29:50
2025-03-26 09:29:50,A,9A76EF68,"(2, 4, 1)",0 days 00:44:10,73.61,RC,2025-03-26 09:30:20
2025-03-26 09:30:20,RC,,"(2, 4, 1)",0 days 00:43:40,72.78,RC,2025-03-26 08:18:40
2025-03-26 08:18:40,RC,,"(1, 4, 1)",0 days 00:43:20,72.22,RC,2025-03-26 08:17:40
2025-03-26 08:17:40,RC,,"(1, 1, 1)",0 days 00:42:20,70.56,RC,2025-03-26 08:28:00
2025-03-26 08:28:00,RC,,"(20, 1, 1)",0 days 00:36:00,60.0,RC,2025-03-26 08:34:40
2025-03-26 08:34:40,RC,,"(20, 15, 1)",0 days 00:31:20,52.22,RC,2025-03-26 08:35:20
2025-03-26 08:35:20,RC,,"(28, 15, 1)",0 days 00:28:40,47.78,RC,2025-03-26 09:25:40
2025-03-26 09:25:40,RC,,"(28, 15, 0)",0 days 00:28:20,47.22,PO,2025-03-26 09:26:20
2025-03-26 09:26:20,PO,,"(28, 15, 0)",0 days 00:37:40,62.78,PO,2025-03-26 09:28:00
2025-03-26 09:28:00,PO,,"(28, 20, 0)",0 days 00:36:00,60.0,PO,2025-03-26 09:36:00
2025-03-26 09:36:00,PO,,"(4, 20, 0)",0 days 00:28:00,46.67,D,2025-03-26 09:36:30
2025-03-26 09:36:30,D,8RFLKZQ3,"(4, 20, 0)",0 days 00:27:30,45.83,D,2025-03-26 09:36:50
2025-03-26 09:36:50,D,8RFLKZQ3,"(5, 20, 0)",0 days 00:27:10,45.28,D,2025-03-26 09:38:10
2025-03-26 09:38:10,D,8RFLKZQ3,"(5, 24, 0)",0 days 00:25:50,43.06,D,2025-03-26 09:43:10
2025-03-26 09:43:10,D,8RFLKZQ3,"(20, 24, 0)",0 days 00:20:50,34.72,D,2025-03-26 09:44:30
2025-03-26 09:44:30,D,8RFLKZQ3,"(20, 28, 0)",0 days 00:19:30,32.5,D,2025-03-26 09:47:10
2025-03-26 09:47:10,D,8RFLKZQ3,"(28, 28, 0)",0 days 00:16:50,28.06,RC,2025-03-26 09:51:40
2025-03-26 09:51:40,RC,,"(28, 28, 0)",0 days 00:16:20,27.22,RC,2025-03-26 09:04:00
2025-03-26 09:04:00,RC,,"(28, 15, 0)",0 days 00:12:00,20.0,PO,2025-03-26 09:17:30
2025-03-26 09:17:30,PO,,"(28, 15, 0)",0 days 00:39:00,65.0,PO,2025-03-26 09:18:50
2025-03-26 09:18:50,PO,,"(28, 19, 0)",0 days 00:37:40,62.78,PO,2025-03-26 09:26:30
2025-03-26 09:26:30,PO,,"(5, 19, 0)",0 days 00:30:00,50.0,PO,2025-03-26 09:27:10
2025-03-26 09:27:10,PO,,"(5, 19, 2)",0 days 00:29:20,48.89,PO,2025-03-26 09:27:30
2025-03-26 09:27:30,PO,,"(4, 19, 2)",0 days 00:29:00,48.33,D,2025-03-26 09:28:00
2025-03-26 09:28:00,D,NC0JAH04,"(4, 19, 2)",0 days 00:28:30,47.5,D,2025-03-26 09:28:20
2025-03-26 09:28:20,D,NC0JAH04,"(5, 19, 2)",0 days 00:28:10,46.94,D,2025-03-26 09:30:00
2025-03-26 09:30:00,D,NC0JAH04,"(5, 24, 2)",0 days 00:26:30,44.17,D,2025-03-26 09:35:00
2025-03-26 09:35:00,D,NC0JAH04,"(20, 24, 2)",0 days 00:21:30,35.83,D,2025-03-26 09:36:20
2025-03-26 09:36:20,D,NC0JAH04,"(20, 28, 2)",0 days 00:20:10,33.61,D,2025-03-26 09:39:00
2025-03-26 09:39:00,D,NC0JAH04,"(28, 28, 2)",0 days 00:17:30,29.17,D,2025-03-26 09:39:40
2025-03-26 09:39:40,D,NC0JAH04,"(28, 28, 0)",0 days 00:16:50,28.06,RC,2025-03-26 09:50:10
2025-03-26 09:50:10,RC,,"(28, 28, 0)",0 days 00:16:20,27.22,RC,2025-03-26 09:42:30
2025-03-26 09:42:30,RC,,"(28, 15, 0)",0 days 00:12:00,20.0,,
