time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-27 07:58:00,PO,,"(28, 15, 0)",0 days 01:00:00,100.0,PO,2025-03-27 08:02:40
2025-03-27 08:02:40,PO,,"(28, 1, 0)",0 days 00:55:20,92.22,A,2025-03-27 08:03:10
2025-03-27 08:03:10,A,9A76EF68,"(28, 1, 0)",0 days 00:54:50,91.39,A,2025-03-27 08:12:10
2025-03-27 08:12:10,A,9A76EF68,"(1, 1, 0)",0 days 00:45:50,76.39,A,2025-03-27 08:13:10
2025-03-27 08:13:10,A,9A76EF68,"(1, 4, 0)",0 days 00:44:50,74.72,A,2025-03-27 08:13:30
2025-03-27 08:13:30,A,9A76EF68,"(1, 4, 1)",0 days 00:44:30,74.17,A,2025-03-27 08:13:50
2025-03-27 08:13:50,A,9A76EF68,"(2, 4, 1)",0 days 00:44:10,73.61,RC,2025-03-27 08:14:20
2025-03-27 08:14:20,RC,,"(2, 4, 1)",0 days 00:43:40,72.78,RC,2025-03-27 08:16:40
2025-03-27 08:16:40,RC,,"(1, 4, 1)",0 days 00:43:20,72.22,RC,2025-03-27 08:17:40
2025-03-27 08:17:40,RC,,"(1, 1, 1)",0 days 00:42:20,70.56,RC,2025-03-27 08:24:00
2025-03-27 08:24:00,RC,,"(20, 1, 1)",0 days 00:36:00,60.0,RC,2025-03-27 08:32:40
2025-03-27 08:32:40,RC,,"(20, 15, 1)",0 days 00:31:20,52.22,RC,2025-03-27 08:31:20
2025-03-27 08:31:20,RC,,"(28, 15, 1)",0 days 00:28:40,47.78,RC,2025-03-27 08:31:40
2025-03-27 08:31:40,RC,,"(28, 15, 0)",0 days 00:28:20,47.22,PO,2025-03-27 08:36:20
2025-03-27 08:36:20,PO,,"(28, 15, 0)",0 days 00:37:40,62.78,PO,2025-03-27 08:38:00
2025-03-27 08:38:00,PO,,"(28, 20, 0)",0 days 00:36:00,60.0,PO,2025-03-27 08:46:00
2025-03-27 08:46:00,PO,,"(4, 20, 0)",0 days 00:28:00,46.67,D,2025-03-27 08:46:30
2025-03-27 08:46:30,D,8RFLKZQ3,"(4, 20, 0)",0 days 00:27:30,45.83,D,2025-03-27 08:46:50
2025-03-27 08:46:50,D,8RFLKZQ3,"(5, 20, 0)",0 days 00:27:10,45.28,D,2025-03-27 08:48:10
2025-03-27 08:48:10,D,8RFLKZQ3,"(5, 24, 0)",0 days 00:25:50,43.06,D,2025-03-27 08:53:10
2025-03-27 08:53:10,D,8RFLKZQ3,"(20, 24, 0)",0 days 00:20:50,34.72,D,2025-03-27 08:54:30
2025-03-27 08:54:30,D,8RFLKZQ3,"(20, 28, 0)",0 days 00:19:30,32.5,D,2025-03-27 08:57:10
2025-03-27 08:57:10,D,8RFLKZQ3,"(28, 28, 0)",0 days 00:16:50,28.06,RC,2025-03-27 08:57:40
2025-03-27 08:57:40,RC,,"(28, 28, 0)",0 days 00:16:20,27.22,RC,2025-03-27 09:02:00
2025-03-27 09:02:00,RC,,"(28, 15, 0)",0 days 00:12:00,20.0,PO,2025-03-27 09:15:30
2025-03-27 09:15:30,PO,,"(28, 15, 0)",0 days 00:39:00,65.0,PO,2025-03-27 09:16:50
2025-03-27 09:16:50,PO,,"(28, 19, 0)",0 days 00:37:40,62.78,PO,2025-03-27 09:24:30
2025-03-27 09:24:30,PO,,"(5, 19, 0)",0 days 00:30:00,50.0,PO,2025-03-27 09:25:10
2025-03-27 09:25:10,PO,,"(5, 19, 2)",0 days 00:29:20,48.89,PO,2025-03-27 09:25:30
2025-03-27 09:25:30,PO,,"(4, 19, 2)",0 days 00:29:00,48.33,D,2025-03-27 09:26:00
2025-03-27 09:26:00,D,NC0JAH04,"(4, 19, 2)",0 days 00:28:30,47.5,D,2025-03-27 09:26:20
2025-03-27 09:26:20,D,NC0JAH04,"(5, 19, 2)",0 days 00:28:10,46.94,D,2025-03-27 09:28:00
2025-03-27 09:28:00,D,NC0JAH04,"(5, 24, 2)",0 days 00:26:30,44.17,D,2025-03-27 09:33:00
2025-03-27 09:33:00,D,NC0JAH04,"(20, 24, 2)",0 days 00:21:30,35.83,D,2025-03-27 09:34:20
2025-03-27 09:34:20,D,NC0JAH04,"(20, 28, 2)",0 days 00:20:10,33.61,D,2025-03-27 09:37:00
2025-03-27 09:37:00,D,NC0JAH04,"(28, 28, 2)",0 days 00:17:30,29.17,D,2025-03-27 09:37:40
2025-03-27 09:37:40,D,NC0JAH04,"(28, 28, 0)",0 days 00:16:50,28.06,RC,2025-03-27 09:40:10
2025-03-27 09:40:10,RC,,"(28, 28, 0)",0 days 00:16:20,27.22,RC,2025-03-27 09:42:30
2025-03-27 09:42:30,RC,,"(28, 15, 0)",0 days 00:12:00,20.0,,
