time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:32:00,PO,,"(28, 15, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:36:40
2025-03-26 08:36:40,PO,,"(28, 1, 0)",0 days 00:55:20,92.22,A,2025-03-26 08:37:10
2025-03-26 08:37:10,A,8RFLKZQ3,"(28, 1, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:41:30
2025-03-26 08:41:30,A,8RFLKZQ3,"(28, 14, 0)",0 days 00:50:30,84.17,A,2025-03-26 08:41:50
2025-03-26 08:41:50,A,8RFLKZQ3,"(27, 14, 0)",0 days 00:50:10,83.61,A,2025-03-26 08:43:50
2025-03-26 08:43:50,A,8RFLKZQ3,"(27, 20, 0)",0 days 00:48:10,80.28,A,2025-03-26 08:51:30
2025-03-26 08:51:30,A,8RFLKZQ3,"(4, 20, 0)",0 days 00:40:30,67.5,RC,2025-03-26 08:52:00
2025-03-26 08:52:00,RC,,"(4, 20, 0)",0 days 00:40:00,66.67,RC,2025-03-26 08:22:20
2025-03-26 08:22:20,RC,,"(5, 20, 0)",0 days 00:39:40,66.11,RC,2025-03-26 08:35:20
2025-03-26 08:35:20,RC,,"(5, 17, 0)",0 days 00:38:40,64.44,RC,2025-03-26 08:28:20
2025-03-26 08:28:20,RC,,"(20, 17, 0)",0 days 00:33:40,56.11,RC,2025-03-26 08:29:00
2025-03-26 08:29:00,RC,,"(20, 15, 0)",0 days 00:33:00,55.0,RC,2025-03-26 08:41:40
2025-03-26 08:41:40,RC,,"(28, 15, 0)",0 days 00:30:20,50.56,PO,2025-03-26 08:39:40
2025-03-26 08:39:40,PO,,"(28, 15, 0)",0 days 00:30:20,50.56,PO,2025-03-26 08:44:20
2025-03-26 08:44:20,PO,,"(28, 1, 0)",0 days 00:25:40,42.78,A,2025-03-26 08:44:50
2025-03-26 08:44:50,A,IO86OUFO,"(28, 1, 0)",0 days 00:25:10,41.94,A,2025-03-26 08:48:50
2025-03-26 08:48:50,A,IO86OUFO,"(16, 1, 0)",0 days 00:21:10,35.28,A,2025-03-26 08:49:30
2025-03-26 08:49:30,A,IO86OUFO,"(16, 1, 2)",0 days 00:20:30,34.17,A,2025-03-26 08:49:50
