time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:38:00,PO,,"(28, 15, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:42:40
2025-03-26 08:42:40,PO,,"(28, 1, 0)",0 days 00:55:20,92.22,A,2025-03-26 08:43:10
2025-03-26 08:43:10,A,8RFLKZQ3,"(28, 1, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:47:30
2025-03-26 08:47:30,A,8RFLKZQ3,"(28, 14, 0)",0 days 00:50:30,84.17,A,2025-03-26 08:47:50
2025-03-26 08:47:50,A,8RFLKZQ3,"(27, 14, 0)",0 days 00:50:10,83.61,A,2025-03-26 08:49:50
2025-03-26 08:49:50,A,8RFLKZQ3,"(27, 20, 0)",0 days 00:48:10,80.28,A,2025-03-26 08:57:30
2025-03-26 08:57:30,A,8RFLKZQ3,"(4, 20, 0)",0 days 00:40:30,67.5,RC,2025-03-26 08:58:00
2025-03-26 08:58:00,RC,,"(4, 20, 0)",0 days 00:40:00,66.67,RC,2025-03-26 08:30:20
2025-03-26 08:30:20,RC,,"(5, 20, 0)",0 days 00:39:40,66.11,RC,2025-03-26 08:27:20
2025-03-26 08:27:20,RC,,"(5, 17, 0)",0 days 00:38:40,64.44,RC,2025-03-26 08:28:20
2025-03-26 08:28:20,RC,,"(20, 17, 0)",0 days 00:33:40,56.11,RC,2025-03-26 08:27:00
2025-03-26 08:27:00,RC,,"(20, 15, 0)",0 days 00:33:00,55.0,RC,2025-03-26 08:37:40
2025-03-26 08:37:40,RC,,"(28, 15, 0)",0 days 00:30:20,50.56,PO,2025-03-26 08:33:40
2025-03-26 08:33:40,PO,,"(28, 15, 0)",0 days 00:30:20,50.56,PO,2025-03-26 08:38:20
2025-03-26 08:38:20,PO,,"(28, 1, 0)",0 days 00:25:40,42.78,A,2025-03-26 08:38:50
2025-03-26 08:38:50,A,IO86OUFO,"(28, 1, 0)",0 days 00:25:10,41.94,A,2025-03-26 08:42:50
2025-03-26 08:42:50,A,IO86OUFO,"(16, 1, 0)",0 days 00:21:10,35.28,A,2025-03-26 08:43:30
2025-03-26 08:43:30,A,IO86OUFO,"(16, 1, 2)",0 days 00:20:30,34.17,A,2025-03-26 08:43:50
2025-03-26 08:43:50,A,IO86OUFO,"(16, 2, 2)",0 days 00:20:10,33.61,RC,2025-03-26 08:44:20
2025-03-26 08:44:20,RC,,"(16, 2, 2)",0 days 00:19:40,32.78,RC,2025-03-26 08:40:40
2025-03-26 08:40:40,RC,,"(16, 1, 2)",0 days 00:19:20,32.22,RC,2025-03-26 08:42:00
2025-03-26 08:42:00,RC,,"(20, 1, 2)",0 days 00:18:00,30.0,RC,2025-03-26 08:46:40
2025-03-26 08:46:40,RC,,"(20, 15, 2)",0 days 00:13:20,22.22,RC,2025-03-26 08:49:20
2025-03-26 08:49:20,RC,,"(28, 15, 2)",0 days 00:10:40,17.78,RC,2025-03-26 08:52:00
2025-03-26 08:52:00,RC,,"(28, 15, 0)",0 days 00:10:00,16.67,PO,2025-03-26 09:05:30
2025-03-26 09:05:30,PO,,"(28, 15, 0)",0 days 00:37:00,61.67,PO,2025-03-26 09:08:30
2025-03-26 09:08:30,PO,,"(28, 24, 0)",0 days 00:34:00,56.67,PO,2025-03-26 09:15:50
2025-03-26 09:15:50,PO,,"(6, 24, 0)",0 days 00:26:40,44.44,PO,2025-03-26 09:16:10
2025-03-26 09:16:10,PO,,"(6, 25, 0)",0 days 00:26:20,43.89,D,2025-03-26 09:16:40
2025-03-26 09:16:40,D,HW5IM51W,"(6, 25, 0)",0 days 00:25:50,43.06,D,2025-03-26 09:17:00
2025-03-26 09:17:00,D,HW5IM51W,"(6, 24, 0)",0 days 00:25:30,42.5,D,2025-03-26 09:21:40
