time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:23:00,PO,,"(28, 15, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:27:40
2025-03-26 08:27:40,PO,,"(28, 1, 0)",0 days 00:55:20,92.22,A,2025-03-26 08:28:10
2025-03-26 08:28:10,A,1LAW58SA,"(28, 1, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:32:30
2025-03-26 08:32:30,A,1LAW58SA,"(28, 14, 0)",0 days 00:50:30,84.17,A,2025-03-26 08:32:50
2025-03-26 08:32:50,A,1LAW58SA,"(27, 14, 0)",0 days 00:50:10,83.61,A,2025-03-26 08:34:10
2025-03-26 08:34:10,A,1LAW58SA,"(27, 18, 0)",0 days 00:48:50,81.39,A,2025-03-26 08:41:30
2025-03-26 08:41:30,A,1LAW58SA,"(5, 18, 0)",0 days 00:41:30,69.17,A,2025-03-26 08:41:50
2025-03-26 08:41:50,A,1LAW58SA,"(5, 18, 1)",0 days 00:41:10,68.61,A,2025-03-26 08:42:10
2025-03-26 08:42:10,A,1LAW58SA,"(4, 18, 1)",0 days 00:40:50,68.06,RC,2025-03-26 08:42:40
2025-03-26 08:42:40,RC,,"(4, 18, 1)",0 days 00:40:20,67.22,RC,2025-03-26 08:20:00
2025-03-26 08:20:00,RC,,"(5, 18, 1)",0 days 00:40:00,66.67,RC,2025-03-26 08:28:20
2025-03-26 08:28:20,RC,,"(5, 17, 1)",0 days 00:39:40,66.11,RC,2025-03-26 08:25:20
2025-03-26 08:25:20,RC,,"(20, 17, 1)",0 days 00:34:40,57.78,RC,2025-03-26 08:26:00
2025-03-26 08:26:00,RC,,"(20, 15, 1)",0 days 00:34:00,56.67,RC,2025-03-26 08:28:40
2025-03-26 08:28:40,RC,,"(28, 15, 1)",0 days 00:31:20,52.22,RC,2025-03-26 08:33:00
2025-03-26 08:33:00,RC,,"(28, 15, 0)",0 days 00:31:00,51.67,PO,2025-03-26 08:31:00
2025-03-26 08:31:00,PO,,"(28, 15, 0)",0 days 00:31:00,51.67,PO,2025-03-26 08:35:40
2025-03-26 08:35:40,PO,,"(28, 1, 0)",0 days 00:26:20,43.89,A,2025-03-26 08:36:10
2025-03-26 08:36:10,A,X2DR7T4H,"(28, 1, 0)",0 days 00:25:50,43.06,A,2025-03-26 08:37:30
2025-03-26 08:37:30,A,X2DR7T4H,"(28, 5, 0)",0 days 00:24:30,40.83,A,2025-03-26 08:41:30
2025-03-26 08:41:30,A,X2DR7T4H,"(16, 5, 0)",0 days 00:20:30,34.17,A,2025-03-26 08:41:50
2025-03-26 08:41:50,A,X2DR7T4H,"(16, 5, 1)",0 days 00:20:10,33.61,A,2025-03-26 08:42:10
2025-03-26 08:42:10,A,X2DR7T4H,"(16, 4, 1)",0 days 00:19:50,33.06,RC,2025-03-26 08:42:40
2025-03-26 08:42:40,RC,,"(16, 4, 1)",0 days 00:19:20,32.22,RC,2025-03-26 08:43:40
2025-03-26 08:43:40,RC,,"(16, 13, 1)",0 days 00:16:20,27.22,RC,2025-03-26 08:45:00
2025-03-26 08:45:00,RC,,"(20, 13, 1)",0 days 00:15:00,25.0,RC,2025-03-26 08:45:40
